# gauge_id=2355, Land cover attributes as area percentages based on the CORINE land cover databases by the European Copernicus Land Monitoring Service: 1990, 2000, 2006, 2012 and 2018. The years in between were interpolated by linear regression. In 1990, only areas outside Switzerland were covered by clc_1990, therefore only catchments with more then 95% data in clc_1990 were calculated. glaciers source: Swiss Glacier Inventory 1973/2016 and Paul et al, 2020. glacier_mass = glacier_volume*850[kg/m3].
year,crop_perc,grass_perc,shrub_perc,dwood_perc,mix_wood_perc,ewood_perc,wetlands_perc,inwater_perc,ice_perc,loose_rock_perc,rock_perc,urban_perc,blank_perc,glac_area_ch(km2),glac_vol_ch(km3),glac_mass_ch(Mt),glac_area_neighbour(km2)
1981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.3008,0.05128,43.584,0
1982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2799,0.04914,41.767,0
1983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.2589,0.04774,40.577,0
1984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.238,0.04803,40.825,0
1985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.217,0.04578,38.91,0
1986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1961,0.04403,37.422,0
1987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1751,0.04312,36.649,0
1988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1542,0.04199,35.694,0
1989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1332,0.04076,34.647,0
1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.1123,0.03877,32.951,0
1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0913,0.03621,30.775,0
1992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0704,0.03432,29.168,0
1993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0494,0.03336,28.36,0
1994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0285,0.03221,27.382,0
1995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0075,0.03182,27.05,0
1996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9866,0.03089,26.256,0
1997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9656,0.02985,25.375,0
1998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9447,0.02769,23.54,0
1999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.9237,0.02712,23.051,0
2000,0.0,37.28,0.0,0.0,0.38,14.35,5.79,0.31,0.49,18.03,21.33,2.03,0.0,0.9028,0.02654,22.556,0
2001,0.0,37.28,0.0,0.0,0.38,14.35,5.79,0.31,0.49,18.03,21.33,2.03,0.0,0.8818,0.0265,22.527,0
2002,0.0,37.28,0.0,0.0,0.38,14.35,5.79,0.31,0.49,18.03,21.33,2.03,0.0,0.8609,0.0253,21.506,0
2003,0.0,37.28,0.0,0.0,0.38,14.35,5.79,0.31,0.49,18.03,21.33,2.03,0.0,0.8399,0.02245,19.083,0
2004,0.0,37.28,0.0,0.0,0.38,14.35,5.79,0.31,0.49,18.03,21.33,2.03,0.0,0.819,0.02188,18.601,0
2005,0.0,37.28,0.0,0.0,0.38,14.35,5.79,0.31,0.49,18.03,21.33,2.03,0.0,0.798,0.02053,17.448,0
2006,0.0,37.28,0.0,0.0,0.38,14.35,5.79,0.31,0.49,18.03,21.33,2.03,0.0,0.7771,0.01899,16.142,0
2007,0.0,35.26,0.2,0.0,0.32,14.27,7.92,0.31,0.48,18.71,20.48,2.04,0.0,0.7561,0.01796,15.266,0
2008,0.0,33.24,0.41,0.0,0.25,14.19,10.05,0.31,0.47,19.39,19.62,2.06,0.0,0.7352,0.01704,14.487,0
2009,0.0,31.22,0.61,0.0,0.19,14.1,12.18,0.31,0.46,20.07,18.77,2.07,0.0,0.7142,0.01605,13.643,0
2010,0.0,29.21,0.82,0.0,0.13,14.02,14.32,0.31,0.45,20.75,17.91,2.08,0.0,0.6933,0.0155,13.171,0
2011,0.0,27.19,1.02,0.0,0.06,13.94,16.45,0.32,0.44,21.43,17.05,2.09,0.0,0.6723,0.01397,11.876,0
2012,0.0,25.17,1.23,0.0,0.0,13.86,18.58,0.32,0.43,22.12,16.2,2.11,0.0,0.6514,0.01298,11.035,0
2013,0.0,25.17,1.23,0.0,0.0,13.86,18.58,0.32,0.43,22.12,16.2,2.11,0.0,0.6304,0.01264,10.748,0
2014,0.0,25.17,1.23,0.0,0.0,13.86,18.58,0.32,0.42,22.12,16.21,2.11,0.0,0.6094,0.01225,10.413,0
2015,0.0,25.17,1.23,0.0,0.0,13.86,18.58,0.32,0.41,22.12,16.22,2.11,0.0,0.5885,0.01126,9.573,0
2016,0.0,25.17,1.23,0.0,0.0,13.86,18.58,0.32,0.4,22.12,16.23,2.11,0.0,0.5675,0.01073,9.117,0
2017,0.0,25.17,1.23,0.0,0.0,13.86,18.58,0.32,0.4,22.12,16.23,2.11,0.0,0.5466,0.00975,8.287,0
2018,0.0,25.17,1.23,0.0,0.0,13.86,18.58,0.32,0.39,22.12,16.24,2.11,0.0,0.5256,0.00873,7.423,0
