# gauge_id=5023, Land cover attributes as area percentages based on the CORINE land cover databases by the European Copernicus Land Monitoring Service: 1990, 2000, 2006, 2012 and 2018. The years in between were interpolated by linear regression. In 1990, only areas outside Switzerland were covered by clc_1990, therefore only catchments with more then 95% data in clc_1990 were calculated. glaciers source: Swiss Glacier Inventory 1973/2016 and Paul et al, 2020. glacier_mass = glacier_volume*850[kg/m3].
year,crop_perc,grass_perc,shrub_perc,dwood_perc,mix_wood_perc,ewood_perc,wetlands_perc,inwater_perc,ice_perc,loose_rock_perc,rock_perc,urban_perc,blank_perc,glac_area_ch(km2),glac_vol_ch(km3),glac_mass_ch(Mt),glac_area_neighbour(km2)
1981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0
1990,6.34,27.05,0.59,4.1,19.56,29.82,1.46,0.15,0.0,2.57,5.25,3.13,0.0,0,0,0,0
1991,6.09,27.37,0.64,4.08,19.55,29.77,1.5,0.15,0.0,2.65,5.05,3.15,0.0,0,0,0,0
1992,5.84,27.7,0.68,4.05,19.54,29.72,1.55,0.15,0.0,2.74,4.85,3.18,0.0,0,0,0,0
1993,5.6,28.03,0.73,4.03,19.52,29.67,1.59,0.15,0.0,2.82,4.65,3.2,0.0,0,0,0,0
1994,5.35,28.36,0.77,4.01,19.51,29.62,1.64,0.15,0.0,2.9,4.44,3.23,0.0,0,0,0,0
1995,5.1,28.69,0.82,3.99,19.5,29.57,1.68,0.15,0.0,2.99,4.24,3.26,0.0,0,0,0,0
1996,4.85,29.02,0.86,3.97,19.49,29.52,1.73,0.15,0.0,3.07,4.04,3.28,0.0,0,0,0,0
1997,4.6,29.35,0.91,3.95,19.48,29.47,1.77,0.15,0.0,3.16,3.84,3.31,0.0,0,0,0,0
1998,4.36,29.68,0.95,3.93,19.47,29.42,1.82,0.15,0.0,3.24,3.64,3.34,0.0,0,0,0,0
1999,4.11,30.01,1.0,3.91,19.46,29.37,1.86,0.15,0.0,3.33,3.44,3.36,0.0,0,0,0,0
2000,3.86,30.34,1.04,3.88,19.45,29.31,1.91,0.15,0.0,3.41,3.24,3.39,0.0,0,0,0,0
2001,3.85,30.32,0.97,3.88,19.43,29.33,1.98,0.15,0.0,3.51,3.14,3.44,0.0,0,0,0,0
2002,3.84,30.3,0.9,3.88,19.41,29.34,2.05,0.15,0.0,3.6,3.03,3.5,0.0,0,0,0,0
