# gauge_id=2265, Land cover attributes as area percentages based on the CORINE land cover databases by the European Copernicus Land Monitoring Service: 1990, 2000, 2006, 2012 and 2018. The years in between were interpolated by linear regression. In 1990, only areas outside Switzerland were covered by clc_1990, therefore only catchments with more then 95% data in clc_1990 were calculated. glaciers source: Swiss Glacier Inventory 1973/2016 and Paul et al, 2020. glacier_mass = glacier_volume*850[kg/m3].
year,crop_perc,grass_perc,shrub_perc,dwood_perc,mix_wood_perc,ewood_perc,wetlands_perc,inwater_perc,ice_perc,loose_rock_perc,rock_perc,urban_perc,blank_perc,glac_area_ch(km2),glac_vol_ch(km3),glac_mass_ch(Mt),glac_area_neighbour(km2)
1981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,68.4339,4.44508,3778.32,1.2714
1982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.8088,4.34707,3695.008,1.2484
1983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,67.1834,4.27347,3632.45,1.2254
1984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,66.5583,4.2924,3648.536,1.2024
1985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.933,4.18819,3559.964,1.1794
1986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,65.3078,4.0993,3484.407,1.1564
1987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.6826,4.01018,3408.653,1.1334
1988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,64.0572,3.94652,3354.54,1.1104
1989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,63.4321,3.88261,3300.218,1.0874
1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.8068,3.78836,3220.109,1.0644
1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,62.1816,3.66345,3113.936,1.0414
1992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,61.5564,3.57352,3037.496,1.0184
1993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.9312,3.51867,2990.866,0.9954
1994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,60.3059,3.45476,2936.547,0.9724
1995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.6807,3.42355,2910.019,0.9494
1996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,59.0554,3.37242,2866.556,0.9264
1997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,58.4302,3.31335,2816.348,0.9034
1998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.8049,3.18732,2709.22,0.8803
1999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,57.1797,3.12833,2659.076,0.8573
2000,0.16,22.22,0.96,0.0,0.15,16.16,5.29,0.82,3.96,17.72,31.68,0.89,0.0,56.5545,3.06877,2608.454,0.8343
2001,0.18,22.26,0.88,0.0,0.15,16.13,5.34,0.82,3.96,17.79,31.6,0.9,0.0,55.9293,3.08772,2624.565,0.8113
2002,0.2,22.3,0.79,0.0,0.15,16.11,5.4,0.82,3.95,17.85,31.52,0.9,0.0,55.304,3.02671,2572.701,0.7883
2003,0.22,22.34,0.71,0.0,0.15,16.09,5.46,0.82,3.95,17.92,31.44,0.9,0.0,54.6788,2.83863,2412.835,0.7653
2004,0.24,22.39,0.63,0.0,0.15,16.06,5.52,0.82,3.94,17.99,31.36,0.91,0.0,54.0535,2.79134,2372.636,0.7423
2005,0.26,22.43,0.55,0.0,0.15,16.04,5.57,0.82,3.93,18.06,31.28,0.91,0.0,53.4284,2.69102,2287.364,0.7193
2006,0.28,22.47,0.47,0.0,0.15,16.02,5.63,0.82,3.93,18.12,31.2,0.91,0.0,52.803,2.57155,2185.819,0.6963
