# gauge_id=2086, Land cover attributes as area percentages based on the CORINE land cover databases by the European Copernicus Land Monitoring Service: 1990, 2000, 2006, 2012 and 2018. The years in between were interpolated by linear regression. In 1990, only areas outside Switzerland were covered by clc_1990, therefore only catchments with more then 95% data in clc_1990 were calculated. glaciers source: Swiss Glacier Inventory 1973/2016 and Paul et al, 2020. glacier_mass = glacier_volume*850[kg/m3].
year,crop_perc,grass_perc,shrub_perc,dwood_perc,mix_wood_perc,ewood_perc,wetlands_perc,inwater_perc,ice_perc,loose_rock_perc,rock_perc,urban_perc,blank_perc,glac_area_ch(km2),glac_vol_ch(km3),glac_mass_ch(Mt),glac_area_neighbour(km2)
1981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8897,0.10543,89.615,0
1982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8407,0.10136,86.153,0
1983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7918,0.09899,84.144,0
1984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7429,0.09932,84.424,0
1985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.694,0.09626,81.821,0
1986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.645,0.09332,79.324,0
1987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5961,0.09163,77.889,0
1988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5472,0.08948,76.055,0
1989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4982,0.08684,73.817,0
1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4493,0.08201,69.707,0
1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4004,0.07745,65.834,0
1992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3515,0.07529,63.999,0
1993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.3025,0.07323,62.246,0
1994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2536,0.07178,61.01,0
1995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.2047,0.07117,60.493,0
1996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1558,0.06905,58.693,0
1997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.1068,0.06664,56.642,0
1998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.0579,0.06267,53.266,0
1999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.009,0.06014,51.121,0
2000,1.27,26.63,0.07,9.67,2.62,21.83,10.46,0.35,0.74,9.17,15.96,1.21,0.0,1.9601,0.05722,48.639,0
2001,1.36,26.5,0.23,9.7,2.54,21.76,10.48,0.35,0.73,9.19,15.94,1.22,0.0,1.9111,0.05799,49.289,0
2002,1.45,26.36,0.39,9.72,2.46,21.69,10.49,0.35,0.72,9.21,15.91,1.23,0.0,1.8622,0.05563,47.289,0
2003,1.54,26.23,0.55,9.74,2.39,21.62,10.51,0.35,0.7,9.24,15.88,1.25,0.0,1.8133,0.04966,42.213,0
2004,1.63,26.09,0.72,9.76,2.31,21.55,10.53,0.35,0.69,9.26,15.85,1.26,0.0,1.7643,0.04774,40.581,0
2005,1.72,25.95,0.88,9.79,2.23,21.48,10.55,0.35,0.68,9.28,15.82,1.27,0.0,1.7154,0.04445,37.782,0
2006,1.81,25.82,1.04,9.81,2.16,21.41,10.56,0.35,0.67,9.3,15.79,1.28,0.0,1.6665,0.04079,34.67,0
2007,1.9,24.88,2.56,8.95,3.2,21.68,9.24,0.35,0.63,9.9,15.41,1.3,0.0,1.6176,0.03843,32.666,0
2008,1.99,23.93,4.08,8.09,4.25,21.95,7.92,0.35,0.59,10.5,15.03,1.32,0.0,1.5687,0.03653,31.051,0
2009,2.08,22.99,5.6,7.22,5.3,22.22,6.61,0.35,0.55,11.1,14.64,1.34,0.0,1.5197,0.03586,30.481,0
