# gauge_id=2351, Land cover attributes as area percentages based on the CORINE land cover databases by the European Copernicus Land Monitoring Service: 1990, 2000, 2006, 2012 and 2018. The years in between were interpolated by linear regression. In 1990, only areas outside Switzerland were covered by clc_1990, therefore only catchments with more then 95% data in clc_1990 were calculated. glaciers source: Swiss Glacier Inventory 1973/2016 and Paul et al, 2020. glacier_mass = glacier_volume*850[kg/m3].
year,crop_perc,grass_perc,shrub_perc,dwood_perc,mix_wood_perc,ewood_perc,wetlands_perc,inwater_perc,ice_perc,loose_rock_perc,rock_perc,urban_perc,blank_perc,glac_area_ch(km2),glac_vol_ch(km3),glac_mass_ch(Mt),glac_area_neighbour(km2)
1981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,232.6179,17.02781,14473.643,0.0006
1982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,231.2467,16.77743,14260.814,0.0006
1983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,229.8755,16.61126,14119.57,0.0006
1984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,228.5044,16.58217,14094.847,0.0006
1985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,227.1332,16.37533,13919.031,0.0006
1986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,225.762,16.1844,13756.744,0.0006
1987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,224.3909,16.00282,13602.393,0.0006
1988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,223.0197,15.90885,13522.522,0.0006
1989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,221.6486,15.71476,13357.549,0.0006
1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,220.2774,15.47139,13150.682,0.0006
1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,218.9062,15.07515,12813.88,0.0006
1992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,217.535,14.92308,12684.617,0.0006
1993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,216.1639,14.83059,12606.001,0.0006
1994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,214.7927,14.73367,12523.616,0.0006
1995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,213.4215,14.71024,12503.704,0.0006
1996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,212.0504,14.64215,12445.831,0.0006
1997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,210.6792,14.50228,12326.939,0.0006
1998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,209.308,14.10883,11992.503,0.0006
1999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,207.9369,14.04852,11941.245,0.0006
2000,0.65,9.83,0.11,0.0,0.17,14.68,0.97,0.22,28.36,9.84,34.22,0.95,0.0,206.5657,13.92363,11835.082,0.0006
2001,0.65,9.84,0.11,0.0,0.17,14.67,0.98,0.22,28.3,9.86,34.25,0.95,0.0,205.1945,13.9754,11879.09,0.0006
2002,0.65,9.85,0.12,0.0,0.17,14.65,0.98,0.22,28.23,9.89,34.29,0.95,0.0,203.8233,13.88235,11800.0,0.0006
2003,0.65,9.86,0.13,0.0,0.17,14.64,0.99,0.22,28.16,9.91,34.32,0.95,0.0,202.4522,13.38825,11380.01,0.0006
2004,0.65,9.87,0.13,0.0,0.17,14.63,1.0,0.22,28.09,9.94,34.35,0.95,0.0,201.081,13.21616,11233.74,0.0006
2005,0.65,9.88,0.14,0.0,0.18,14.61,1.0,0.22,28.03,9.96,34.38,0.95,0.0,199.7099,12.99453,11045.351,0.0006
2006,0.65,9.89,0.15,0.0,0.18,14.6,1.01,0.22,27.96,9.99,34.41,0.95,0.0,198.3387,12.72533,10816.533,0.0006
2007,0.59,9.73,1.05,0.0,0.15,14.18,0.93,0.22,27.65,10.21,34.31,0.98,0.0,196.9675,12.62328,10729.786,0.0006
2008,0.53,9.56,1.96,0.0,0.12,13.76,0.85,0.22,27.34,10.44,34.21,1.01,0.0,195.5963,12.39271,10533.806,0.0006
2009,0.47,9.39,2.87,0.0,0.09,13.35,0.77,0.22,27.02,10.66,34.11,1.04,0.0,194.2252,12.17209,10346.276,0.0006
2010,0.41,9.23,3.78,0.0,0.06,12.93,0.69,0.22,26.71,10.89,34.01,1.07,0.0,192.854,12.0021,10201.789,0.0006
