# gauge_id=2481, Land cover attributes as area percentages based on the CORINE land cover databases by the European Copernicus Land Monitoring Service: 1990, 2000, 2006, 2012 and 2018. The years in between were interpolated by linear regression. In 1990, only areas outside Switzerland were covered by clc_1990, therefore only catchments with more then 95% data in clc_1990 were calculated. glaciers source: Swiss Glacier Inventory 1973/2016 and Paul et al, 2020. glacier_mass = glacier_volume*850[kg/m3].
year,crop_perc,grass_perc,shrub_perc,dwood_perc,mix_wood_perc,ewood_perc,wetlands_perc,inwater_perc,ice_perc,loose_rock_perc,rock_perc,urban_perc,blank_perc,glac_area_ch(km2),glac_vol_ch(km3),glac_mass_ch(Mt),glac_area_neighbour(km2)
1981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.5732,0.34468,292.976,0
1982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.4969,0.33391,283.825,0
1983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.4207,0.32917,279.791,0
1984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.3444,0.33471,284.503,0
1985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.2681,0.32468,275.976,0
1986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1919,0.31733,269.731,0
1987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.1156,0.31904,271.18,0
1988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,8.0393,0.31584,268.467,0
1989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.963,0.31094,264.297,0
1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.8868,0.29929,254.399,0
1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.8105,0.28398,241.38,0
1992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.7343,0.2744,233.236,0
1993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.658,0.271,230.349,0
1994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.5817,0.26743,227.314,0
1995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.5055,0.26929,228.9,0
1996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.4292,0.26572,225.861,0
1997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.353,0.26097,221.827,0
1998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.2767,0.24803,210.826,0
1999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,7.2004,0.24836,211.109,0
2000,0.27,40.96,0.27,2.18,13.44,10.17,4.65,0.13,3.67,6.5,16.09,1.66,0.0,7.1242,0.2475,210.374,0
2001,0.27,40.98,0.27,2.18,13.42,10.17,4.65,0.13,3.67,6.5,16.09,1.66,0.0,7.0479,0.24909,211.73,0
2002,0.27,41.0,0.27,2.18,13.41,10.16,4.65,0.13,3.67,6.5,16.09,1.66,0.0,6.9716,0.24187,205.586,0
2003,0.27,41.02,0.27,2.18,13.39,10.16,4.66,0.13,3.67,6.5,16.09,1.66,0.0,6.8954,0.22283,189.405,0
2004,0.27,41.05,0.27,2.18,13.38,10.15,4.66,0.13,3.67,6.5,16.09,1.66,0.0,6.8191,0.2209,187.762,0
2005,0.27,41.07,0.27,2.18,13.36,10.15,4.66,0.13,3.67,6.5,16.09,1.66,0.0,6.7429,0.2132,181.224,0
2006,0.27,41.09,0.27,2.18,13.34,10.14,4.66,0.13,3.67,6.5,16.09,1.66,0.0,6.6666,0.20407,173.459,0
2007,0.5,40.81,0.42,2.46,12.82,10.41,4.37,0.13,3.52,7.01,15.88,1.67,0.0,6.5903,0.2005,170.428,0
2008,0.74,40.53,0.57,2.74,12.29,10.67,4.09,0.13,3.36,7.53,15.68,1.67,0.0,6.5141,0.19366,164.609,0
