# gauge_id=2342, Land cover attributes as area percentages based on the CORINE land cover databases by the European Copernicus Land Monitoring Service: 1990, 2000, 2006, 2012 and 2018. The years in between were interpolated by linear regression. In 1990, only areas outside Switzerland were covered by clc_1990, therefore only catchments with more then 95% data in clc_1990 were calculated. glaciers source: Swiss Glacier Inventory 1973/2016 and Paul et al, 2020. glacier_mass = glacier_volume*850[kg/m3].
year,crop_perc,grass_perc,shrub_perc,dwood_perc,mix_wood_perc,ewood_perc,wetlands_perc,inwater_perc,ice_perc,loose_rock_perc,rock_perc,urban_perc,blank_perc,glac_area_ch(km2),glac_vol_ch(km3),glac_mass_ch(Mt),glac_area_neighbour(km2)
1981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8817,0.13769,117.034,0
1982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8554,0.13437,114.215,0
1983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.829,0.13212,112.305,0
1984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.8026,0.1316,111.858,0
1985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7762,0.12886,109.533,0
1986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7498,0.12633,107.38,0
1987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.7234,0.12395,105.359,0
1988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6971,0.1226,104.211,0
1989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6707,0.12006,102.055,0
1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6443,0.1169,99.361,0
1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.6179,0.11198,95.182,0
1992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5916,0.10999,93.496,0
1993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5652,0.1087,92.396,0
1994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5388,0.10739,91.277,0
1995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.5124,0.10694,90.898,0
1996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.486,0.10593,90.041,0
1997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4597,0.1041,88.483,0
1998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4333,0.09936,84.459,0
1999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.4069,0.09844,83.677,0
2000,0.0,31.61,0.0,0.0,6.08,23.04,4.13,0.0,4.04,10.0,18.89,2.2,0.0,2.3805,0.09679,82.268,0
2001,0.0,31.56,0.0,0.0,6.04,23.13,4.13,0.0,4.03,10.0,18.89,2.2,0.0,2.3541,0.09725,82.663,0
2002,0.0,31.51,0.0,0.0,6.0,23.23,4.13,0.0,4.02,10.0,18.9,2.2,0.0,2.3277,0.09598,81.582,0
2003,0.0,31.46,0.0,0.0,5.96,23.32,4.13,0.0,4.02,10.0,18.91,2.2,0.0,2.3014,0.09015,76.627,0
2004,0.0,31.41,0.0,0.0,5.92,23.41,4.13,0.0,4.01,10.0,18.92,2.2,0.0,2.275,0.08805,74.842,0
2005,0.0,31.36,0.0,0.0,5.88,23.51,4.13,0.0,4.0,10.0,18.92,2.2,0.0,2.2486,0.08537,72.564,0
2006,0.0,31.3,0.0,0.0,5.83,23.6,4.13,0.0,3.99,10.0,18.93,2.2,0.0,2.2222,0.08217,69.844,0
2007,0.06,30.9,0.97,0.0,5.77,23.55,3.52,0.0,3.78,10.25,18.96,2.24,0.0,2.1958,0.08085,68.725,0
2008,0.12,30.49,1.94,0.0,5.7,23.51,2.9,0.0,3.57,10.49,18.99,2.28,0.0,2.1695,0.07818,66.454,0
2009,0.18,30.09,2.91,0.0,5.64,23.46,2.28,0.0,3.36,10.73,19.02,2.32,0.0,2.1431,0.0757,64.345,0
2010,0.25,29.68,3.88,0.0,5.57,23.41,1.67,0.0,3.14,10.97,19.06,2.36,0.0,2.1167,0.07374,62.679,0
2011,0.31,29.28,4.86,0.0,5.5,23.37,1.05,0.0,2.93,11.21,19.09,2.4,0.0,2.0903,0.06964,59.195,0
2012,0.37,28.87,5.83,0.0,5.44,23.32,0.43,0.0,2.72,11.46,19.12,2.44,0.0,2.0639,0.06708,57.018,0
2013,0.37,28.87,5.83,0.0,5.44,23.32,0.43,0.0,2.71,11.46,19.13,2.44,0.0,2.0376,0.06647,56.502,0
2014,0.37,28.87,5.83,0.0,5.44,23.32,0.43,0.0,2.69,11.46,19.14,2.44,0.0,2.0112,0.06558,55.744,0
2015,0.37,28.87,5.83,0.0,5.44,23.32,0.43,0.0,2.68,11.46,19.16,2.44,0.0,1.9848,0.06223,52.895,0
