# gauge_id=2602, Land cover attributes as area percentages based on the CORINE land cover databases by the European Copernicus Land Monitoring Service: 1990, 2000, 2006, 2012 and 2018. The years in between were interpolated by linear regression. In 1990, only areas outside Switzerland were covered by clc_1990, therefore only catchments with more then 95% data in clc_1990 were calculated. glaciers source: Swiss Glacier Inventory 1973/2016 and Paul et al, 2020. glacier_mass = glacier_volume*850[kg/m3].
year,crop_perc,grass_perc,shrub_perc,dwood_perc,mix_wood_perc,ewood_perc,wetlands_perc,inwater_perc,ice_perc,loose_rock_perc,rock_perc,urban_perc,blank_perc,glac_area_ch(km2),glac_vol_ch(km3),glac_mass_ch(Mt),glac_area_neighbour(km2)
1981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,56.1898,2.52884,2149.511,1.514
1982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,55.3926,2.43516,2069.889,1.4857
1983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,54.5954,2.37604,2019.632,1.4574
1984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.7981,2.38999,2031.495,1.4291
1985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,53.0009,2.29069,1947.089,1.4008
1986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,52.2037,2.21522,1882.941,1.3725
1987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,51.4066,2.18474,1857.027,1.3442
1988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,50.6093,2.1379,1817.219,1.316
1989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.8121,2.08519,1772.415,1.2877
1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,49.0148,1.99634,1696.885,1.2594
1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,48.2177,1.88185,1599.576,1.2311
1992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,47.4205,1.79703,1527.473,1.2028
1993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,46.6232,1.75671,1493.2,1.1745
1994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.826,1.70696,1450.92,1.1462
1995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,45.0289,1.693,1439.051,1.118
1996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,44.2316,1.65268,1404.777,1.0897
1997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,43.4344,1.60782,1366.648,1.0614
1998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,42.6371,1.51193,1285.14,1.0331
1999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,41.84,1.49169,1267.935,1.0048
2000,0.63,36.64,0.1,0.15,1.13,22.27,5.65,0.38,1.37,12.2,18.5,0.99,0.0,41.0427,1.47103,1250.375,0.9765
2001,0.64,36.66,0.1,0.16,1.13,22.23,5.63,0.38,1.35,12.2,18.51,0.99,0.0,40.2455,1.46851,1248.229,0.9482
2002,0.65,36.69,0.11,0.16,1.14,22.2,5.61,0.38,1.34,12.21,18.52,0.99,0.0,39.4483,1.41364,1201.597,0.92
2003,0.66,36.71,0.12,0.16,1.14,22.17,5.59,0.38,1.32,12.22,18.53,0.99,0.0,38.6512,1.28545,1092.635,0.8917
2004,0.67,36.73,0.13,0.17,1.14,22.14,5.57,0.38,1.31,12.23,18.54,0.99,0.0,37.8539,1.26265,1073.255,0.8634
2005,0.68,36.75,0.14,0.17,1.14,22.11,5.55,0.38,1.29,12.24,18.55,0.99,0.0,37.0567,1.20304,1022.583,0.8351
2006,0.7,36.78,0.15,0.17,1.15,22.08,5.53,0.38,1.27,12.25,18.55,0.99,0.0,36.2594,1.13516,964.882,0.8068
2007,0.79,35.64,0.54,0.25,1.41,21.45,6.48,0.38,1.21,12.48,18.34,1.03,0.0,35.4623,1.08995,926.462,0.7785
2008,0.88,34.5,0.93,0.33,1.68,20.82,7.43,0.38,1.14,12.7,18.13,1.07,0.0,34.6651,1.04761,890.469,0.7503
2009,0.98,33.36,1.33,0.41,1.94,20.19,8.38,0.38,1.07,12.93,17.92,1.11,0.0,33.88,0.99992,849.935,0.722
2010,1.07,32.22,1.72,0.49,2.2,19.56,9.34,0.38,1.01,13.16,17.7,1.15,0.0,33.1089,0.97466,828.458,0.6937
2011,1.17,31.08,2.12,0.57,2.47,18.93,10.29,0.38,0.94,13.38,17.49,1.19,0.0,32.3379,0.9015,766.271,0.6654
2012,1.26,29.94,2.51,0.65,2.73,18.3,11.24,0.39,0.88,13.61,17.28,1.23,0.0,31.5669,0.85489,726.66,0.6371
2013,1.26,29.93,2.51,0.65,2.73,18.3,11.24,0.39,0.86,13.61,17.3,1.23,0.0,30.7967,0.84022,714.188,0.6088
2014,1.26,29.93,2.51,0.65,2.73,18.3,11.24,0.39,0.84,13.61,17.32,1.24,0.0,30.0441,0.81731,694.716,0.5805
2015,1.25,29.93,2.51,0.65,2.73,18.3,11.24,0.39,0.82,13.61,17.34,1.24,0.0,29.3017,0.76883,653.504,0.5523
2016,1.25,29.93,2.52,0.65,2.73,18.3,11.24,0.39,0.8,13.61,17.36,1.24,0.0,28.5593,0.74207,630.757,0.524
