# gauge_id=2014, Land cover attributes as area percentages based on the CORINE land cover databases by the European Copernicus Land Monitoring Service: 1990, 2000, 2006, 2012 and 2018. The years in between were interpolated by linear regression. In 1990, only areas outside Switzerland were covered by clc_1990, therefore only catchments with more then 95% data in clc_1990 were calculated. glaciers source: Swiss Glacier Inventory 1973/2016 and Paul et al, 2020. glacier_mass = glacier_volume*850[kg/m3].
year,crop_perc,grass_perc,shrub_perc,dwood_perc,mix_wood_perc,ewood_perc,wetlands_perc,inwater_perc,ice_perc,loose_rock_perc,rock_perc,urban_perc,blank_perc,glac_area_ch(km2),glac_vol_ch(km3),glac_mass_ch(Mt),glac_area_neighbour(km2)
1981,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.3531,1.33737,1136.764,0
1982,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,25.1189,1.30014,1105.121,0
1983,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.8848,1.28167,1089.417,0
1984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.6506,1.29775,1103.086,0
1985,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.4164,1.25855,1069.771,0
1986,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.1823,1.23125,1046.563,0
1987,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.9481,1.23525,1049.962,0
1988,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.714,1.22245,1039.085,0
1989,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.4798,1.20581,1024.94,0
1990,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.2456,1.16902,993.663,0
1991,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,23.0115,1.11772,950.06,0
1992,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.7773,1.08231,919.962,0
1993,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.5432,1.07002,909.518,0
1994,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.3089,1.05321,895.233,0
1995,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.0748,1.05601,897.612,0
1996,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.8406,1.04153,885.296,0
1997,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.6065,1.02545,871.629,0
1998,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.3723,0.98482,837.098,0
1999,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,21.1381,0.98541,837.602,0
2000,7.72,33.41,0.08,0.74,14.15,15.21,3.66,3.41,1.45,5.85,10.16,4.16,0.0,20.904,0.98429,836.65,0
2001,7.74,33.4,0.18,0.75,14.14,15.11,3.66,3.41,1.45,5.85,10.15,4.16,0.0,20.6698,0.98647,838.499,0
2002,7.75,33.4,0.27,0.76,14.13,15.0,3.66,3.41,1.45,5.85,10.15,4.16,0.0,20.4357,0.95982,815.845,0
2003,7.77,33.39,0.37,0.77,14.12,14.9,3.66,3.41,1.45,5.85,10.15,4.17,0.0,20.2015,0.89958,764.646,0
2004,7.79,33.39,0.46,0.78,14.11,14.79,3.66,3.41,1.45,5.85,10.15,4.17,0.0,19.9673,0.89591,761.52,0
2005,7.8,33.38,0.56,0.79,14.1,14.69,3.66,3.41,1.45,5.85,10.15,4.17,0.0,19.7332,0.87112,740.451,0
2006,7.82,33.38,0.65,0.8,14.09,14.58,3.66,3.41,1.45,5.85,10.15,4.17,0.0,19.499,0.84274,716.329,0
2007,7.83,32.73,0.82,1.44,14.32,13.61,4.34,3.42,1.37,5.97,9.95,4.19,0.0,19.2649,0.82401,700.407,0
2008,7.85,32.09,0.99,2.07,14.56,12.63,5.02,3.42,1.3,6.1,9.76,4.22,0.0,19.0307,0.8061,685.185,0
2009,7.86,31.45,1.15,2.71,14.79,11.66,5.71,3.42,1.22,6.23,9.56,4.24,0.0,18.7965,0.78367,666.124,0
2010,7.87,30.81,1.32,3.35,15.03,10.68,6.39,3.42,1.14,6.36,9.37,4.26,0.0,18.5623,0.77478,658.565,0
2011,7.88,30.16,1.49,3.99,15.26,9.7,7.08,3.42,1.07,6.48,9.17,4.29,0.0,18.3282,0.7366,626.111,0
2012,7.9,29.52,1.65,4.63,15.49,8.73,7.76,3.42,0.99,6.61,8.98,4.31,0.0,18.0941,0.71507,607.809,0
2013,7.89,29.52,1.65,4.63,15.49,8.73,7.76,3.43,0.97,6.61,9.0,4.31,0.0,17.8599,0.71118,604.501,0
2014,7.89,29.53,1.65,4.63,15.49,8.73,7.76,3.43,0.95,6.61,9.02,4.31,0.0,17.6257,0.69967,594.717,0
