date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,0.008,0.64,0.2,2.0,36.09,4.84,2.92,0.41,2.24,1.37,0.1,0.35
1981-01-02,0.008,0.62,0.76,-1.06,39.21,6.25,2.75,0.62,1.14,0.64,0.21,0.66
1981-01-03,0.008,0.61,1.34,1.91,32.99,6.16,2.15,0.62,0.25,0.18,0.16,1.04
1981-01-04,0.008,0.61,3.81,-0.68,12.21,2.95,1.63,0.87,0.54,0.53,0.53,1.34
1981-01-05,0.007,0.6,1.29,-6.13,18.69,2.76,2.16,0.66,0.14,0.12,0.11,1.35
1981-01-06,0.007,0.59,4.83,-6.7,8.2,0.0,1.32,0.86,0.0,0.0,0.0,1.43
1981-01-07,0.007,0.57,0.93,-8.63,18.23,4.57,1.68,0.67,0.0,0.0,0.0,1.43
1981-01-08,0.007,0.56,0.02,-9.36,37.55,6.86,3.09,0.47,0.0,0.0,0.0,1.43
1981-01-09,0.007,0.55,0.0,-10.55,43.24,6.19,0.16,0.74,0.0,0.0,0.0,1.43
1981-01-10,0.007,0.54,0.03,-6.38,39.81,0.04,0.08,0.76,0.03,0.03,0.03,1.41
1981-01-11,0.007,0.53,0.0,-4.19,44.69,1.22,0.14,0.88,0.0,0.0,0.0,1.41
1981-01-12,0.006,0.52,0.0,-6.75,39.53,6.64,0.54,0.76,0.0,0.0,0.0,1.41
1981-01-13,0.006,0.5,0.71,-5.07,45.09,0.03,1.6,0.64,0.54,0.54,0.54,1.27
1981-01-14,0.006,0.49,0.03,-5.0,43.76,5.37,2.13,0.46,0.0,0.0,0.0,1.28
1981-01-15,0.006,0.48,2.95,-4.6,20.51,2.67,1.42,0.78,0.0,0.0,0.0,1.41
1981-01-16,0.006,0.47,0.4,-6.19,44.14,6.7,2.03,0.6,0.0,0.0,0.0,1.41
1981-01-17,0.006,0.46,0.51,-4.04,47.36,5.72,0.53,0.87,0.0,0.0,0.0,1.42
1981-01-18,0.006,0.46,0.44,-2.19,47.79,6.11,1.59,0.67,0.0,0.0,0.0,1.42
1981-01-19,0.006,0.45,1.74,-2.52,25.86,1.33,0.61,0.81,0.0,0.0,0.0,1.43
1981-01-20,0.005,0.44,5.54,-4.05,21.21,2.33,1.34,0.86,0.0,0.0,0.0,1.43
1981-01-21,0.005,0.44,0.15,-5.38,56.96,7.11,2.89,0.5,0.0,0.0,0.0,1.43
1981-01-22,0.005,0.43,0.0,-3.05,61.42,7.4,2.92,0.37,0.0,0.0,0.0,1.43
1981-01-23,0.005,0.42,0.0,-4.93,63.7,7.07,1.29,0.52,0.0,0.0,0.0,1.43
1981-01-24,0.005,0.43,0.0,-1.3,64.3,7.44,1.35,0.43,0.0,0.0,0.0,1.43
1981-01-25,0.006,0.48,0.0,1.49,68.32,6.18,2.99,0.34,0.73,0.73,0.73,1.11
1981-01-26,0.006,0.5,0.07,0.1,49.8,7.16,3.81,0.48,0.59,0.59,0.4,0.88
1981-01-27,0.006,0.49,0.0,-2.63,72.97,7.53,1.4,0.39,0.29,0.29,0.01,0.87
1981-01-28,0.006,0.48,0.0,-3.19,72.95,6.89,1.42,0.48,0.25,0.21,0.0,0.87
1981-01-29,0.006,0.47,0.0,-4.47,78.86,7.71,0.93,0.57,0.17,0.12,0.0,0.87
1981-01-30,0.006,0.46,0.01,-1.91,85.13,7.86,1.16,0.42,0.28,0.16,0.0,0.87
1981-01-31,0.006,0.48,0.0,0.48,89.87,7.9,1.46,0.44,0.34,0.14,0.0,0.87
1981-02-01,0.007,0.55,0.0,1.04,91.55,7.94,1.16,0.47,0.31,0.1,0.0,0.87
1981-02-02,0.01,0.78,0.0,3.29,95.17,7.71,1.73,0.39,0.65,0.31,0.21,0.78
1981-02-03,0.011,0.93,0.04,1.12,74.72,3.02,0.88,0.57,0.75,0.53,0.49,0.59
1981-02-04,0.009,0.72,0.66,-1.4,42.64,2.67,1.34,0.79,0.68,0.61,0.45,0.62
1981-02-05,0.008,0.68,0.96,-4.94,74.32,7.43,1.49,0.66,0.49,0.42,0.36,0.89
1981-02-06,0.008,0.67,1.08,0.11,60.66,7.57,2.32,0.63,0.47,0.43,0.43,1.08
1981-02-07,0.008,0.67,0.17,6.52,57.85,5.66,2.62,0.54,1.23,0.97,0.73,0.48
1981-02-08,0.008,0.66,0.0,5.72,111.23,7.95,1.68,0.44,3.04,2.63,0.46,0.02
1981-02-09,0.008,0.65,0.0,1.68,112.64,3.95,0.53,0.55,1.77,1.41,0.0,0.02
1981-02-10,0.008,0.63,0.24,-0.06,52.27,0.17,1.35,0.64,1.41,0.96,0.08,0.17
1981-02-11,0.008,0.61,0.0,-4.43,113.98,7.5,3.0,0.46,1.73,1.02,0.15,0.02
1981-02-12,0.007,0.6,0.0,-7.29,125.95,8.16,1.75,0.42,1.45,0.66,0.0,0.02
1981-02-13,0.007,0.58,0.28,-7.94,121.24,4.84,1.22,0.48,1.28,0.49,0.0,0.27
1981-02-14,0.007,0.57,0.0,-6.15,126.76,8.05,1.23,0.58,1.03,0.52,0.26,0.02
1981-02-15,0.007,0.56,0.0,-6.09,124.58,4.84,0.66,0.71,0.94,0.28,0.0,0.02
1981-02-16,0.007,0.54,0.0,-5.95,126.78,4.96,0.44,0.65,1.01,0.27,0.0,0.02
1981-02-17,0.007,0.53,0.0,-6.62,107.71,1.71,0.86,0.67,1.0,0.24,0.0,0.02
