date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,0.342,0.69,4.75,-7.12,47.87,0.99,4.15,0.61,0.58,0.58,0.58,0.33
1981-01-02,0.332,0.67,12.96,-9.77,47.49,0.69,2.53,0.84,0.0,0.0,0.0,0.33
1981-01-03,0.327,0.66,21.91,-2.83,43.49,0.48,2.65,0.8,0.04,0.04,0.04,0.33
1981-01-04,0.322,0.65,22.09,-6.64,28.13,0.04,3.28,0.91,0.0,0.0,0.0,0.33
1981-01-05,0.317,0.64,12.1,-14.85,33.02,0.0,5.17,0.85,0.08,0.08,0.08,0.33
1981-01-06,0.313,0.63,21.45,-13.61,23.71,0.0,3.49,0.84,0.03,0.03,0.03,0.33
1981-01-07,0.308,0.62,4.63,-17.56,44.41,0.13,4.17,0.8,0.09,0.09,0.09,0.33
1981-01-08,0.303,0.61,0.27,-19.33,57.76,5.66,3.58,0.71,0.0,0.0,0.0,0.33
1981-01-09,0.298,0.6,0.01,-11.01,54.31,0.3,2.23,0.72,0.09,0.09,0.09,0.31
1981-01-10,0.293,0.59,0.15,-6.79,50.98,0.0,0.55,0.78,0.01,0.01,0.01,0.32
1981-01-11,0.288,0.58,0.0,-8.54,70.05,4.67,0.65,0.69,0.0,0.0,0.0,0.32
1981-01-12,0.283,0.57,0.17,-10.83,69.88,6.84,1.55,0.56,0.0,0.0,0.0,0.33
1981-01-13,0.278,0.56,1.09,-11.96,50.16,0.02,2.4,0.76,0.08,0.08,0.08,0.33
1981-01-14,0.273,0.55,0.01,-12.99,70.35,5.77,2.01,0.66,0.0,0.0,0.0,0.33
1981-01-15,0.268,0.54,11.92,-9.89,42.03,0.22,4.2,0.81,0.14,0.14,0.14,0.33
1981-01-16,0.263,0.53,3.7,-14.66,58.38,1.27,3.43,0.77,0.03,0.03,0.03,0.33
1981-01-17,0.258,0.52,5.38,-8.14,60.37,1.28,1.85,0.83,0.0,0.0,0.0,0.33
1981-01-18,0.253,0.51,5.88,-10.19,50.45,0.3,2.02,0.83,0.0,0.0,0.0,0.33
1981-01-19,0.248,0.5,13.86,-8.51,35.53,0.01,1.97,0.83,0.0,0.0,0.0,0.33
1981-01-20,0.248,0.5,15.51,-11.53,44.31,0.06,3.1,0.86,0.02,0.02,0.02,0.33
1981-01-21,0.243,0.49,0.98,-14.72,74.46,4.39,2.8,0.79,0.0,0.0,0.0,0.33
1981-01-22,0.238,0.48,0.0,-12.66,87.22,7.28,2.26,0.55,0.0,0.0,0.0,0.33
1981-01-23,0.233,0.47,0.0,-7.73,86.35,7.22,1.22,0.3,0.0,0.0,0.0,0.33
1981-01-24,0.233,0.47,0.0,-4.74,87.26,7.22,1.38,0.25,0.0,0.0,0.0,0.33
1981-01-25,0.228,0.46,0.11,-6.35,88.17,5.85,2.22,0.35,0.06,0.06,0.06,0.33
