date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,0.009,0.59,1.94,-2.59,22.05,0.22,3.06,0.81,0.13,0.13,0.13,0.51
1981-01-02,0.009,0.57,4.7,-3.28,20.62,0.0,1.18,0.88,0.0,0.0,0.0,0.51
1981-01-03,0.009,0.57,21.51,0.31,21.01,0.08,2.61,0.83,0.05,0.05,0.05,0.51
1981-01-04,0.012,0.78,36.92,-2.29,14.96,0.25,1.62,0.92,0.0,0.0,0.0,0.51
1981-01-05,0.014,0.86,2.43,-7.68,30.54,1.03,1.56,0.92,0.0,0.0,0.0,0.51
1981-01-06,0.01,0.63,19.81,-6.55,15.84,0.0,1.75,0.93,0.0,0.0,0.0,0.51
1981-01-07,0.009,0.54,2.96,-9.79,47.7,2.47,2.04,0.95,0.0,0.0,0.0,0.51
1981-01-08,0.008,0.52,0.8,-11.48,81.73,7.51,3.05,0.8,0.0,0.0,0.0,0.51
1981-01-09,0.008,0.5,0.03,-7.34,59.53,3.4,2.08,0.84,0.0,0.0,0.0,0.51
1981-01-10,0.008,0.48,3.05,-3.8,29.37,0.0,0.98,1.0,0.0,0.0,0.0,0.51
1981-01-11,0.007,0.46,0.16,-5.34,24.12,0.03,1.14,0.91,0.0,0.0,0.0,0.51
1981-01-12,0.007,0.44,10.66,-5.22,59.61,2.57,1.73,0.85,0.0,0.0,0.0,0.51
1981-01-13,0.007,0.42,6.31,-7.58,37.27,1.03,1.34,0.89,0.0,0.0,0.0,0.51
1981-01-14,0.006,0.4,1.59,-8.59,65.19,3.29,1.51,0.91,0.0,0.0,0.0,0.51
1981-01-15,0.006,0.39,30.54,-4.69,31.23,0.32,2.8,0.91,0.0,0.0,0.0,0.51
1981-01-16,0.006,0.37,5.02,-7.47,31.69,0.98,2.6,0.89,0.0,0.0,0.0,0.51
1981-01-17,0.006,0.36,10.45,-1.88,27.52,0.11,2.6,0.88,0.0,0.0,0.0,0.51
1981-01-18,0.006,0.35,11.06,-4.05,22.73,0.05,2.25,0.92,0.0,0.0,0.0,0.51
1981-01-19,0.005,0.34,10.67,-1.2,20.16,0.0,1.72,0.84,0.0,0.0,0.0,0.51
1981-01-20,0.005,0.33,23.42,-5.18,15.37,0.56,1.52,0.97,0.0,0.0,0.0,0.51
1981-01-21,0.005,0.32,0.56,-7.1,55.04,2.02,1.08,0.79,0.0,0.0,0.0,0.51
1981-01-22,0.005,0.31,0.0,-6.98,85.89,3.91,2.77,0.55,0.08,0.08,0.08,0.48
1981-01-23,0.005,0.29,0.0,-6.69,105.9,4.09,2.57,0.46,0.28,0.28,0.28,0.37
1981-01-24,0.004,0.28,0.39,-3.53,111.11,4.11,1.64,0.39,0.22,0.22,0.22,0.44
1981-01-25,0.004,0.27,0.12,-3.68,77.34,0.94,1.79,0.69,0.14,0.14,0.14,0.42
1981-01-26,0.004,0.26,0.5,-3.27,71.98,4.24,2.26,0.86,0.0,0.0,0.0,0.48
1981-01-27,0.004,0.25,0.11,-6.79,108.5,3.3,2.12,0.51,0.12,0.12,0.12,0.45
1981-01-28,0.004,0.24,0.0,-6.41,107.46,6.53,2.26,0.4,0.0,0.0,0.0,0.45
1981-01-29,0.004,0.23,0.0,-5.09,110.75,5.81,2.06,0.52,0.0,0.0,0.0,0.45
1981-01-30,0.004,0.22,0.0,-3.58,118.56,3.62,2.43,0.39,0.67,0.67,0.67,0.21
1981-01-31,0.004,0.22,0.0,-0.75,118.28,4.34,2.51,0.33,0.65,0.65,0.65,0.13
1981-02-01,0.004,0.22,0.0,0.94,118.38,4.49,1.64,0.34,0.39,0.39,0.39,0.09
1981-02-02,0.004,0.25,0.0,1.64,120.25,4.54,1.67,0.37,0.46,0.46,0.46,0.03
1981-02-03,0.005,0.29,3.12,1.34,73.81,1.87,3.01,0.55,0.83,0.83,0.83,0.48
1981-02-04,0.005,0.3,19.12,-1.47,35.71,0.45,2.28,0.87,0.05,0.05,0.05,0.54
1981-02-05,0.005,0.29,6.61,-6.79,44.19,1.59,2.19,0.91,0.0,0.0,0.0,0.54
1981-02-06,0.005,0.29,8.74,-2.19,27.14,0.0,1.48,0.94,0.0,0.0,0.0,0.54
1981-02-07,0.005,0.34,0.71,1.67,42.13,0.0,1.77,0.9,0.0,0.0,0.0,0.54
1981-02-08,0.007,0.44,0.18,2.15,106.83,3.27,2.13,0.75,0.0,0.0,0.0,0.54
1981-02-09,0.009,0.55,0.01,2.58,137.04,3.22,2.12,0.56,0.73,0.73,0.73,0.26
1981-02-10,0.009,0.54,10.09,-3.02,45.42,0.28,1.74,0.87,0.03,0.03,0.03,0.54
1981-02-11,0.007,0.45,0.05,-8.87,95.22,6.0,2.13,0.98,0.0,0.0,0.0,0.54
1981-02-12,0.007,0.43,0.05,-10.14,117.05,7.1,2.59,0.85,0.0,0.0,0.0,0.54
1981-02-13,0.007,0.41,0.0,-9.55,137.63,8.63,2.57,0.69,0.0,0.0,0.0,0.54
1981-02-14,0.006,0.39,0.0,-7.06,144.59,8.81,1.71,0.46,0.0,0.0,0.0,0.54
1981-02-15,0.006,0.38,0.0,-4.96,145.92,8.59,1.71,0.34,0.0,0.0,0.0,0.54
1981-02-16,0.006,0.36,0.0,-4.98,146.2,8.37,2.66,0.47,0.11,0.11,0.11,0.5
1981-02-17,0.006,0.35,0.0,-8.59,90.6,1.21,2.73,0.83,0.31,0.31,0.31,0.38
1981-02-18,0.005,0.33,0.25,-9.47,72.94,1.1,2.41,0.9,0.13,0.13,0.13,0.43
1981-02-19,0.005,0.32,0.01,-10.78,67.38,1.98,2.46,0.94,0.0,0.0,0.0,0.43
1981-02-20,0.005,0.3,0.0,-9.71,108.31,3.96,2.3,0.78,0.0,0.0,0.0,0.43
1981-02-21,0.005,0.29,0.61,-9.39,91.15,1.93,1.74,0.82,0.03,0.03,0.03,0.5
1981-02-22,0.004,0.28,0.0,-8.86,127.57,5.47,2.18,0.75,0.0,0.0,0.0,0.5
1981-02-23,0.004,0.27,0.02,-6.33,125.14,5.24,2.14,0.81,0.0,0.0,0.0,0.5
1981-02-24,0.004,0.26,1.53,-4.83,111.84,4.26,2.11,0.84,0.0,0.0,0.0,0.53
1981-02-25,0.004,0.24,0.0,-5.69,166.47,6.42,2.81,0.77,0.0,0.0,0.0,0.53
1981-02-26,0.004,0.23,0.0,-5.31,147.42,4.57,2.14,0.77,0.0,0.0,0.0,0.52
1981-02-27,0.004,0.22,0.0,-4.46,158.37,4.09,1.85,0.54,0.51,0.51,0.51,0.33
1981-02-28,0.004,0.22,9.94,-1.93,46.89,0.0,2.64,0.89,0.15,0.15,0.15,0.54
1981-03-01,0.004,0.22,8.98,-0.81,103.64,0.44,2.05,0.93,0.0,0.0,0.0,0.54
1981-03-02,0.004,0.24,10.82,-0.5,79.87,0.8,2.51,0.92,0.0,0.0,0.0,0.54
1981-03-03,0.004,0.24,24.36,-2.49,41.54,0.0,2.95,0.95,0.0,0.0,0.0,0.54
1981-03-04,0.004,0.24,7.06,-3.1,58.48,0.2,2.23,0.94,0.0,0.0,0.0,0.54
1981-03-05,0.004,0.23,0.1,-3.6,117.41,3.86,2.54,0.9,0.0,0.0,0.0,0.54
1981-03-06,0.004,0.26,7.15,-0.76,57.46,0.0,2.99,0.87,0.11,0.11,0.11,0.54
1981-03-07,0.006,0.36,0.37,2.67,162.71,6.73,2.64,0.77,0.0,0.0,0.0,0.54
1981-03-08,0.011,0.68,8.6,3.46,31.23,0.0,3.6,0.8,0.44,0.44,0.44,0.54
1981-03-09,0.022,1.41,0.3,5.57,104.73,3.23,3.53,0.76,0.59,0.59,0.59,0.43
1981-03-10,0.037,2.32,2.41,6.12,80.98,0.19,3.41,0.82,0.81,0.81,0.81,0.51
1981-03-11,0.072,4.5,1.48,9.88,72.35,0.03,4.23,0.58,2.26,2.26,2.26,0.42
1981-03-12,0.209,13.13,45.17,3.36,28.5,0.0,3.88,0.92,0.11,0.11,0.11,0.54
1981-03-13,0.216,13.57,15.9,0.05,98.72,1.67,2.52,0.9,0.48,0.48,0.48,0.54
1981-03-14,0.131,8.22,1.23,-0.07,137.84,3.26,3.03,0.81,0.23,0.23,0.23,0.49
1981-03-15,0.086,5.4,4.16,-1.58,101.04,0.43,2.42,0.88,0.27,0.27,0.27,0.52
1981-03-16,0.058,3.63,5.63,-2.21,97.3,1.2,2.84,0.91,0.0,0.0,0.0,0.54
1981-03-17,0.036,2.27,13.79,-5.01,80.05,1.66,2.32,0.9,0.0,0.0,0.0,0.54
1981-03-18,0.027,1.69,4.81,-6.86,76.86,1.68,2.39,0.92,0.0,0.0,0.0,0.54
1981-03-19,0.023,1.43,0.0,-4.32,202.47,10.45,1.96,0.84,0.0,0.0,0.0,0.54
1981-03-20,0.027,1.68,0.0,2.15,176.61,2.28,2.42,0.48,1.24,1.24,1.24,0.18
1981-03-21,0.035,2.22,0.0,3.87,210.49,9.92,2.8,0.6,0.22,0.22,0.22,0.15
1981-03-22,0.044,2.74,0.16,2.64,92.86,2.81,3.76,0.75,0.5,0.5,0.5,0.21
1981-03-23,0.051,3.2,4.68,3.87,108.47,0.41,3.38,0.8,1.02,1.02,1.02,0.52
