date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,0.009,1.38,3.21,0.2,15.99,0.04,3.81,0.8,0.41,0.41,0.41,1.5
1981-01-02,0.009,1.39,10.15,-1.05,18.96,0.0,2.56,0.91,0.0,0.0,0.0,1.52
1981-01-03,0.012,1.77,11.84,3.38,24.11,0.19,5.69,0.78,0.87,0.87,0.87,1.51
1981-01-04,0.023,3.48,21.21,0.35,15.81,0.13,2.89,0.92,0.0,0.0,0.0,1.52
1981-01-05,0.026,4.04,3.64,-4.26,23.74,0.22,1.92,0.9,0.0,0.0,0.0,1.52
1981-01-06,0.018,2.76,19.34,-3.47,13.47,0.0,2.03,0.93,0.0,0.0,0.0,1.52
1981-01-07,0.013,1.99,3.09,-6.88,36.04,0.41,0.36,0.95,0.0,0.0,0.0,1.52
1981-01-08,0.011,1.64,0.35,-10.16,89.65,8.0,1.02,0.87,0.0,0.0,0.0,1.52
1981-01-09,0.01,1.54,0.01,-5.63,58.83,2.24,0.85,0.65,0.0,0.0,0.0,1.52
1981-01-10,0.01,1.52,4.46,-2.22,30.29,0.0,0.98,1.0,0.0,0.0,0.0,1.52
1981-01-11,0.01,1.5,0.34,-3.53,10.57,0.09,0.96,0.94,0.0,0.0,0.0,1.52
1981-01-12,0.01,1.48,6.0,-3.4,29.28,3.9,1.09,0.85,0.0,0.0,0.0,1.52
1981-01-13,0.009,1.45,12.78,-4.68,24.16,0.04,0.98,0.9,0.0,0.0,0.0,1.52
1981-01-14,0.009,1.43,2.55,-6.59,57.7,4.78,1.35,0.91,0.0,0.0,0.0,1.52
1981-01-15,0.009,1.41,34.44,-1.55,20.85,0.11,3.04,0.9,0.0,0.0,0.0,1.52
1981-01-16,0.009,1.39,2.29,-4.71,35.16,0.18,2.17,0.89,0.0,0.0,0.0,1.52
1981-01-17,0.009,1.38,5.62,0.68,22.26,0.1,3.5,0.88,0.01,0.01,0.01,1.52
1981-01-18,0.009,1.38,6.67,-1.44,18.99,0.0,2.24,0.94,0.0,0.0,0.0,1.52
1981-01-19,0.009,1.38,19.74,0.06,14.96,0.0,2.66,0.94,0.0,0.0,0.0,1.52
1981-01-20,0.009,1.37,17.31,-2.35,16.11,0.05,0.55,0.95,0.0,0.0,0.0,1.52
1981-01-21,0.009,1.35,0.93,-4.92,37.49,0.46,0.09,0.87,0.0,0.0,0.0,1.52
