date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,0.139,0.18,2.44,-8.28,67.75,4.31,4.01,0.59,0.13,0.13,0.13,0.24
1981-01-02,0.131,0.17,4.48,-10.14,61.92,2.94,3.79,0.78,0.0,0.0,0.0,0.24
1981-01-03,0.131,0.17,6.75,-4.2,41.19,0.63,3.83,0.73,0.18,0.18,0.18,0.24
1981-01-04,0.131,0.17,8.1,-8.55,32.6,0.03,3.09,0.88,0.0,0.0,0.0,0.24
1981-01-05,0.123,0.16,9.93,-17.24,32.61,0.0,2.76,0.81,0.02,0.02,0.02,0.24
1981-01-06,0.123,0.16,13.24,-16.06,27.87,0.0,1.85,0.89,0.0,0.0,0.0,0.24
1981-01-07,0.116,0.15,3.56,-20.02,48.03,0.31,2.8,0.76,0.04,0.04,0.04,0.24
1981-01-08,0.108,0.14,0.0,-19.65,81.66,7.49,4.55,0.65,0.0,0.0,0.0,0.24
1981-01-09,0.108,0.14,0.0,-13.6,51.72,0.44,4.36,0.72,0.22,0.22,0.22,0.21
1981-01-10,0.1,0.13,0.06,-9.19,45.67,0.0,1.32,0.71,0.08,0.08,0.08,0.21
1981-01-11,0.1,0.13,0.0,-10.35,75.03,4.05,0.71,0.74,0.0,0.0,0.0,0.21
1981-01-12,0.1,0.13,0.0,-11.97,95.42,7.83,2.43,0.61,0.0,0.0,0.0,0.21
1981-01-13,0.092,0.12,0.0,-12.93,45.89,0.03,3.28,0.77,0.15,0.15,0.15,0.19
1981-01-14,0.092,0.12,0.0,-11.99,79.14,7.06,3.82,0.56,0.0,0.0,0.0,0.19
1981-01-15,0.092,0.12,4.2,-9.72,48.74,1.16,3.71,0.63,0.33,0.33,0.33,0.24
1981-01-16,0.085,0.11,2.33,-14.0,73.58,4.83,2.61,0.6,0.0,0.0,0.0,0.24
1981-01-17,0.085,0.11,0.89,-8.65,80.15,4.52,2.82,0.62,0.0,0.0,0.0,0.24
1981-01-18,0.085,0.11,0.83,-11.8,53.53,0.61,1.86,0.72,0.02,0.02,0.02,0.24
1981-01-19,0.077,0.1,5.01,-7.84,43.5,0.02,2.13,0.65,0.16,0.16,0.16,0.24
1981-01-20,0.077,0.1,9.1,-11.85,50.04,0.09,2.39,0.73,0.08,0.08,0.08,0.24
1981-01-21,0.077,0.1,0.86,-14.66,104.79,7.62,3.96,0.64,0.0,0.0,0.0,0.24
1981-01-22,0.077,0.1,0.0,-13.67,112.19,8.49,2.56,0.5,0.0,0.0,0.0,0.24
1981-01-23,0.069,0.09,0.0,-8.18,111.4,8.23,2.43,0.23,0.0,0.0,0.0,0.24
1981-01-24,0.069,0.09,0.0,-6.54,110.08,8.28,1.39,0.27,0.0,0.0,0.0,0.24
1981-01-25,0.069,0.09,0.0,-6.59,108.89,7.51,2.38,0.34,0.02,0.02,0.02,0.24
1981-01-26,0.069,0.09,0.0,-10.23,65.77,3.08,2.41,0.61,0.08,0.08,0.08,0.22
1981-01-27,0.062,0.08,0.0,-11.38,116.43,8.35,2.29,0.27,0.05,0.05,0.05,0.22
1981-01-28,0.062,0.08,0.0,-10.1,73.39,3.63,4.51,0.53,0.45,0.45,0.45,0.17
1981-01-29,0.062,0.08,0.0,-12.32,122.29,8.44,2.38,0.3,0.1,0.1,0.1,0.16
1981-01-30,0.062,0.08,0.0,-9.18,121.51,8.47,1.73,0.34,0.04,0.04,0.04,0.16
