date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,0.527,1.17,1.3,-1.83,27.3,0.11,2.86,0.84,0.15,0.15,0.15,1.09
1981-01-02,0.532,1.18,3.42,-2.16,24.98,0.06,2.86,0.88,0.03,0.03,0.03,1.11
1981-01-03,0.879,1.95,22.55,1.05,15.69,0.06,5.09,0.9,0.06,0.06,0.06,1.12
1981-01-04,2.127,4.72,39.48,0.45,17.0,0.01,4.69,0.86,0.19,0.19,0.18,1.12
1981-01-05,2.384,5.29,2.8,-4.19,35.87,1.02,2.78,0.77,0.14,0.14,0.12,1.11
1981-01-06,1.866,4.14,15.3,-3.94,15.93,0.0,3.79,0.89,0.04,0.04,0.04,1.11
1981-01-07,1.483,3.29,0.85,-7.12,47.88,1.02,2.31,0.74,0.05,0.05,0.05,1.1
1981-01-08,1.113,2.47,0.03,-8.76,89.42,7.54,3.83,0.66,0.01,0.01,0.01,1.1
1981-01-09,0.834,1.85,0.0,-6.8,74.74,6.44,1.92,0.77,0.0,0.0,0.0,1.1
1981-01-10,0.649,1.44,15.44,-3.74,22.37,0.0,1.44,0.94,0.0,0.0,0.0,1.11
1981-01-11,0.577,1.28,1.34,-3.36,12.45,0.0,3.22,0.88,0.0,0.0,0.0,1.11
1981-01-12,0.559,1.24,7.16,-4.29,49.43,1.22,2.86,0.86,0.0,0.0,0.0,1.11
1981-01-13,0.541,1.2,1.87,-4.94,45.46,1.97,3.6,0.77,0.06,0.06,0.06,1.11
1981-01-14,0.518,1.15,1.56,-6.56,58.97,2.71,2.88,0.76,0.0,0.0,0.0,1.11
1981-01-15,0.798,1.77,44.51,-2.34,34.03,0.47,5.14,0.85,0.22,0.22,0.22,1.11
1981-01-16,1.037,2.3,2.6,-4.76,42.4,0.86,3.31,0.81,0.1,0.1,0.1,1.11
