date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,0.346,1.05,1.58,-0.76,20.18,0.07,2.24,0.84,0.05,0.05,0.05,1.12
1981-01-02,0.343,1.04,6.88,-1.4,19.48,0.0,2.49,0.91,0.0,0.0,0.0,1.13
1981-01-03,0.646,1.96,22.27,2.03,14.64,0.03,3.94,0.86,0.1,0.1,0.1,1.13
1981-01-04,1.421,4.31,35.2,-0.18,15.61,0.14,2.67,0.92,0.0,0.0,0.0,1.13
1981-01-05,1.507,4.57,4.32,-4.49,40.55,0.5,2.04,0.84,0.0,0.0,0.0,1.13
1981-01-06,1.131,3.43,19.61,-3.64,17.14,0.0,2.5,0.89,0.0,0.0,0.0,1.13
1981-01-07,0.848,2.57,2.71,-6.72,67.08,2.44,1.09,0.87,0.0,0.0,0.0,1.13
1981-01-08,0.636,1.93,0.21,-10.74,82.74,7.3,0.61,0.83,0.0,0.0,0.0,1.13
1981-01-09,0.488,1.48,0.0,-6.0,61.94,3.88,0.54,0.81,0.0,0.0,0.0,1.13
1981-01-10,0.422,1.28,7.52,-1.65,21.33,0.0,0.73,0.98,0.0,0.0,0.0,1.13
1981-01-11,0.402,1.22,0.24,-3.28,16.48,0.0,1.79,0.92,0.0,0.0,0.0,1.13
1981-01-12,0.392,1.19,6.37,-4.53,56.47,2.23,1.46,0.92,0.0,0.0,0.0,1.13
1981-01-13,0.383,1.16,1.84,-5.24,45.65,1.57,1.71,0.83,0.0,0.0,0.0,1.13
1981-01-14,0.373,1.13,2.73,-6.46,56.28,2.05,2.11,0.87,0.0,0.0,0.0,1.13
1981-01-15,0.363,1.1,37.93,-2.08,34.27,0.2,4.17,0.88,0.07,0.07,0.07,1.13
1981-01-16,0.353,1.07,4.99,-4.74,32.45,0.55,2.09,0.87,0.0,0.0,0.0,1.13
1981-01-17,0.353,1.07,10.29,0.4,26.94,0.09,4.54,0.88,0.13,0.13,0.13,1.13
