date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,0.638,2.19,2.88,2.37,14.31,0.14,3.24,0.68,0.67,0.67,0.67,1.15
1981-01-02,0.825,2.83,10.14,0.62,11.74,0.0,2.06,0.89,0.0,0.0,0.0,1.17
1981-01-03,1.658,5.69,9.16,3.66,26.92,0.12,3.54,0.77,0.53,0.53,0.53,1.17
1981-01-04,4.228,14.51,22.91,1.82,3.42,0.0,1.35,0.89,0.0,0.0,0.0,1.17
1981-01-05,3.93,13.49,6.95,-0.21,10.83,0.0,2.33,0.69,0.36,0.36,0.36,1.17
1981-01-06,2.395,8.22,15.56,-0.63,1.86,0.0,1.62,0.85,0.0,0.0,0.0,1.17
1981-01-07,1.661,5.7,8.6,-3.53,29.23,0.0,1.7,0.79,0.04,0.04,0.04,1.17
1981-01-08,1.302,4.47,1.3,-7.39,57.35,4.55,1.1,0.74,0.0,0.0,0.0,1.17
1981-01-09,1.028,3.53,0.44,-6.57,38.09,0.0,0.96,0.74,0.02,0.02,0.02,1.17
1981-01-10,0.813,2.79,0.38,-1.91,38.49,0.0,0.67,0.86,0.0,0.0,0.0,1.17
1981-01-11,0.673,2.31,0.0,-1.07,19.56,1.58,1.08,0.91,0.0,0.0,0.0,1.17
1981-01-12,0.597,2.05,0.19,-2.45,68.28,4.78,1.48,0.77,0.0,0.0,0.0,1.17
1981-01-13,0.571,1.96,6.54,-1.71,23.19,0.0,1.19,0.87,0.0,0.0,0.0,1.17
1981-01-14,0.554,1.9,0.86,-2.63,49.67,5.3,2.04,0.66,0.0,0.0,0.0,1.17
1981-01-15,0.591,2.03,17.14,0.01,24.34,0.07,2.53,0.77,0.21,0.21,0.21,1.17
1981-01-16,0.658,2.26,5.21,-1.63,33.89,0.09,2.47,0.7,0.36,0.36,0.36,1.17
1981-01-17,0.673,2.31,2.63,1.17,45.16,0.87,2.65,0.77,0.15,0.15,0.15,1.16
1981-01-18,0.851,2.92,5.4,1.33,21.61,0.0,1.3,0.87,0.0,0.0,0.0,1.17
1981-01-19,1.273,4.37,9.86,0.98,13.24,0.0,1.95,0.83,0.02,0.02,0.02,1.17
1981-01-20,1.99,6.83,19.47,-0.03,8.44,0.0,1.32,0.88,0.0,0.0,0.0,1.17
1981-01-21,1.658,5.69,0.71,-3.42,31.39,3.61,1.09,0.8,0.0,0.0,0.0,1.17
1981-01-22,1.209,4.15,0.0,-7.72,97.39,7.33,1.17,0.77,0.0,0.0,0.0,1.17
1981-01-23,0.976,3.35,0.0,-8.91,96.39,7.28,0.82,0.83,0.0,0.0,0.0,1.17
1981-01-24,0.79,2.71,0.0,-8.67,35.88,3.9,0.59,0.87,0.0,0.0,0.0,1.17
1981-01-25,0.647,2.22,0.38,-5.4,37.85,4.08,0.88,0.89,0.0,0.0,0.0,1.17
1981-01-26,0.562,1.93,6.96,-0.86,24.56,0.35,0.35,0.89,0.0,0.0,0.0,1.17
1981-01-27,0.539,1.85,0.0,-4.82,96.48,7.51,0.37,0.74,0.0,0.0,0.0,1.17
1981-01-28,0.516,1.77,0.0,-7.51,86.4,6.14,1.03,0.77,0.0,0.0,0.0,1.17
1981-01-29,0.495,1.7,0.0,-9.13,52.24,4.01,0.89,0.88,0.0,0.0,0.0,1.17
1981-01-30,0.475,1.63,0.0,-9.07,74.55,5.81,0.48,0.83,0.0,0.0,0.0,1.17
1981-01-31,0.455,1.56,0.0,-7.61,78.46,7.51,0.62,0.77,0.0,0.0,0.0,1.17
1981-02-01,0.437,1.5,0.0,-6.55,72.94,7.03,0.53,0.82,0.0,0.0,0.0,1.17
1981-02-02,0.417,1.43,0.0,-4.17,84.4,7.74,0.67,0.77,0.0,0.0,0.0,1.17
1981-02-03,0.42,1.44,0.08,1.49,74.13,2.47,1.82,0.66,0.45,0.45,0.45,1.04
1981-02-04,0.609,2.09,14.95,2.6,46.47,0.95,2.35,0.86,0.2,0.2,0.2,1.23
1981-02-05,1.063,3.65,9.83,-0.16,40.39,0.34,1.5,0.8,0.25,0.25,0.25,1.23
1981-02-06,1.416,4.86,11.89,0.4,6.98,0.0,1.06,0.9,0.0,0.0,0.0,1.23
1981-02-07,2.293,7.87,9.25,3.11,46.1,0.0,1.09,0.9,0.0,0.0,0.0,1.23
1981-02-08,3.088,10.6,0.01,3.89,111.45,7.83,1.41,0.84,0.0,0.0,0.0,1.23
1981-02-09,2.273,7.8,0.0,1.49,106.67,6.6,1.24,0.83,0.0,0.0,0.0,1.23
1981-02-10,1.935,6.64,3.16,1.51,30.33,0.0,1.81,0.75,0.28,0.28,0.28,1.22
1981-02-11,1.771,6.08,1.47,-0.33,78.29,2.92,1.11,0.74,0.03,0.03,0.03,1.22
1981-02-12,1.463,5.02,1.02,-2.57,98.09,7.07,1.15,0.71,0.0,0.0,0.0,1.22
1981-02-13,1.174,4.03,0.0,-5.18,126.25,8.13,1.53,0.57,0.0,0.0,0.0,1.22
1981-02-14,0.921,3.16,0.0,-6.07,129.0,8.21,0.59,0.65,0.0,0.0,0.0,1.22
1981-02-15,0.72,2.47,0.0,-4.82,128.01,8.02,0.69,0.65,0.0,0.0,0.0,1.22
1981-02-16,0.58,1.99,0.0,-4.36,129.76,8.21,0.91,0.72,0.0,0.0,0.0,1.22
1981-02-17,0.524,1.8,0.0,-4.17,64.07,4.05,0.94,0.77,0.0,0.0,0.0,1.22
1981-02-18,0.507,1.74,0.13,-2.06,72.89,2.82,0.77,0.71,0.03,0.03,0.03,1.21
1981-02-19,0.489,1.68,0.03,-2.88,108.36,6.18,1.4,0.73,0.0,0.0,0.0,1.21
1981-02-20,0.472,1.62,0.0,-2.78,121.29,7.81,1.49,0.66,0.0,0.0,0.0,1.21
1981-02-21,0.455,1.56,0.25,-2.33,90.74,0.85,1.29,0.71,0.34,0.34,0.32,1.13
1981-02-22,0.44,1.51,0.0,-2.79,125.68,8.0,0.95,0.7,0.01,0.01,0.0,1.13
