date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,0.826,1.53,0.32,0.82,28.75,0.12,1.87,0.82,0.13,0.13,0.1,0.72
1981-01-02,0.815,1.51,0.81,0.59,26.05,0.06,1.85,0.86,0.1,0.1,0.05,0.74
1981-01-03,1.322,2.45,10.93,3.62,16.67,0.07,3.52,0.88,0.12,0.12,0.07,0.9
1981-01-04,3.0,5.56,23.18,3.37,15.02,0.03,3.0,0.84,0.21,0.21,0.12,0.92
1981-01-05,3.707,6.87,1.28,-0.95,37.93,1.08,1.8,0.73,0.22,0.22,0.11,0.89
1981-01-06,2.941,5.45,12.47,-0.94,17.02,0.0,2.37,0.87,0.11,0.11,0.11,0.75
1981-01-07,2.336,4.33,0.28,-4.0,48.43,1.14,1.44,0.71,0.02,0.02,0.02,0.75
1981-01-08,1.673,3.1,0.02,-6.03,83.76,7.46,2.52,0.65,0.0,0.0,0.0,0.75
1981-01-09,1.171,2.17,0.0,-5.63,72.49,6.37,0.78,0.78,0.0,0.0,0.0,0.75
1981-01-10,0.982,1.82,17.3,-2.21,22.2,0.0,0.82,0.93,0.0,0.0,0.0,0.75
1981-01-11,0.95,1.76,2.44,-0.75,11.22,0.0,2.26,0.87,0.0,0.0,0.0,0.75
1981-01-12,0.928,1.72,8.69,-2.25,48.18,1.17,1.78,0.86,0.0,0.0,0.0,0.75
1981-01-13,0.901,1.67,2.1,-1.54,48.0,2.08,2.9,0.75,0.04,0.04,0.04,0.74
1981-01-14,0.869,1.61,1.0,-3.96,59.41,2.89,2.1,0.73,0.0,0.0,0.0,0.75
1981-01-15,1.748,3.24,33.96,0.36,34.57,0.51,3.76,0.85,0.07,0.07,0.07,0.75
1981-01-16,2.525,4.68,1.46,-1.79,50.16,0.96,2.33,0.78,0.07,0.07,0.07,0.74
1981-01-17,2.39,4.43,10.9,2.27,42.01,0.64,3.45,0.85,0.05,0.05,0.05,0.75
1981-01-18,3.097,5.74,9.24,0.91,31.37,0.06,2.32,0.91,0.0,0.0,0.0,0.75
1981-01-19,3.502,6.49,5.82,2.04,19.5,0.0,3.14,0.9,0.0,0.0,0.0,0.75
1981-01-20,3.707,6.87,15.33,0.35,53.7,2.73,2.38,0.83,0.0,0.0,0.0,0.75
1981-01-21,3.394,6.29,0.13,-2.96,61.43,0.75,1.35,0.76,0.11,0.11,0.11,0.73
1981-01-22,2.563,4.75,0.0,-4.55,83.45,5.47,1.48,0.79,0.0,0.0,0.0,0.73
1981-01-23,1.921,3.56,0.0,-5.7,79.86,4.48,1.44,0.79,0.0,0.0,0.0,0.73
1981-01-24,1.446,2.68,0.08,-5.92,60.4,1.43,0.68,0.86,0.0,0.0,0.0,0.73
1981-01-25,1.122,2.08,0.01,-3.49,50.18,0.65,0.86,0.88,0.0,0.0,0.0,0.73
1981-01-26,1.014,1.88,0.0,-0.75,64.05,4.7,1.36,0.86,0.0,0.0,0.0,0.73
1981-01-27,0.987,1.83,0.0,-3.77,62.85,2.27,1.31,0.83,0.0,0.0,0.0,0.73
1981-01-28,0.95,1.76,0.0,-3.9,93.15,5.7,2.04,0.7,0.01,0.01,0.01,0.73
1981-01-29,0.912,1.69,0.0,-4.33,94.9,5.78,0.84,0.8,0.0,0.0,0.0,0.73
1981-01-30,0.88,1.63,0.0,-4.09,59.75,1.51,0.79,0.82,0.04,0.04,0.04,0.71
1981-01-31,0.847,1.57,0.0,-3.32,80.07,2.93,0.92,0.79,0.04,0.04,0.04,0.69
1981-02-01,0.82,1.52,0.0,-3.66,67.27,1.36,0.66,0.84,0.11,0.11,0.11,0.64
1981-02-02,0.788,1.46,0.0,-2.29,70.72,1.59,0.78,0.82,0.15,0.15,0.15,0.58
1981-02-03,0.782,1.45,3.17,0.48,77.2,3.08,2.59,0.74,0.41,0.41,0.41,0.74
1981-02-04,1.344,2.49,17.32,2.75,47.78,0.51,3.58,0.87,0.16,0.16,0.16,0.78
1981-02-05,2.336,4.33,1.22,-0.47,73.27,2.12,1.86,0.8,0.09,0.09,0.08,0.77
1981-02-06,1.959,3.63,2.0,1.18,42.69,0.0,1.13,0.92,0.02,0.02,0.01,0.8
1981-02-07,1.894,3.51,0.04,3.19,35.43,0.0,0.93,0.9,0.01,0.01,0.01,0.79
1981-02-08,1.764,3.27,0.02,1.66,39.77,1.46,0.86,0.93,0.01,0.01,0.0,0.79
1981-02-09,1.613,2.99,0.0,2.88,77.32,1.49,1.87,0.83,0.25,0.25,0.23,0.68
1981-02-10,1.57,2.91,2.01,2.34,57.06,2.89,2.46,0.76,0.19,0.19,0.1,0.79
1981-02-11,1.43,2.65,0.0,-1.84,114.08,7.96,2.07,0.68,0.25,0.25,0.11,0.68
1981-02-12,1.112,2.06,0.0,-3.34,127.82,7.86,2.47,0.68,0.28,0.28,0.05,0.64
1981-02-13,0.971,1.8,0.0,-4.49,118.87,6.64,2.34,0.65,0.31,0.31,0.1,0.58
