date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,1.022,2.26,2.87,2.5,12.85,0.13,3.28,0.68,0.67,0.67,0.65,0.98
1981-01-02,1.362,3.01,9.71,0.8,11.04,0.0,2.09,0.88,0.0,0.0,0.0,1.0
1981-01-03,2.945,6.51,9.04,3.9,25.75,0.11,3.66,0.75,0.63,0.63,0.61,1.0
1981-01-04,7.106,15.71,22.9,1.9,3.48,0.0,1.29,0.89,0.0,0.0,0.0,1.0
1981-01-05,6.451,14.26,6.44,0.01,10.18,0.0,2.27,0.68,0.36,0.36,0.35,1.0
1981-01-06,4.008,8.86,13.97,-0.38,1.52,0.0,1.61,0.84,0.0,0.0,0.0,1.0
1981-01-07,2.637,5.83,8.38,-3.33,28.6,0.0,1.65,0.79,0.04,0.04,0.03,1.0
1981-01-08,2.045,4.52,1.28,-7.12,57.85,4.57,1.07,0.74,0.0,0.0,0.0,1.0
1981-01-09,1.628,3.6,0.42,-6.5,37.58,0.0,0.95,0.74,0.02,0.02,0.01,1.0
1981-01-10,1.303,2.88,0.38,-1.9,37.93,0.0,0.65,0.86,0.01,0.01,0.0,1.0
1981-01-11,1.086,2.4,0.0,-0.94,17.27,1.68,1.13,0.91,0.0,0.0,0.0,1.0
1981-01-12,0.959,2.12,0.19,-2.31,67.52,4.76,1.5,0.77,0.0,0.0,0.0,1.0
1981-01-13,0.923,2.04,6.55,-1.56,22.68,0.0,1.15,0.87,0.0,0.0,0.0,1.0
1981-01-14,0.891,1.97,0.91,-2.43,49.23,5.3,2.05,0.65,0.0,0.0,0.0,1.0
1981-01-15,1.004,2.22,16.23,0.18,23.44,0.07,2.51,0.76,0.23,0.23,0.22,1.0
1981-01-16,1.172,2.59,5.13,-1.42,32.68,0.09,2.49,0.7,0.37,0.37,0.36,1.0
1981-01-17,1.19,2.63,2.55,1.41,44.29,0.82,2.7,0.76,0.21,0.21,0.2,0.99
1981-01-18,1.506,3.33,5.22,1.51,21.33,0.0,1.29,0.86,0.0,0.0,0.0,1.0
1981-01-19,2.393,5.29,9.72,1.18,12.7,0.0,1.92,0.82,0.03,0.03,0.02,1.0
1981-01-20,3.773,8.34,18.5,0.15,8.18,0.0,1.28,0.88,0.0,0.0,0.0,1.0
1981-01-21,2.958,6.54,0.68,-3.23,31.86,3.7,1.06,0.8,0.0,0.0,0.0,1.0
1981-01-22,2.013,4.45,0.0,-7.62,97.35,7.44,1.17,0.76,0.0,0.0,0.0,1.0
1981-01-23,1.624,3.59,0.0,-8.9,96.57,7.38,0.83,0.83,0.0,0.0,0.0,1.0
1981-01-24,1.316,2.91,0.0,-8.71,35.66,4.21,0.63,0.88,0.0,0.0,0.0,1.0
1981-01-25,1.077,2.38,0.38,-5.44,37.22,4.12,0.88,0.9,0.0,0.0,0.0,1.0
1981-01-26,0.932,2.06,6.89,-0.72,24.15,0.34,0.32,0.89,0.0,0.0,0.0,1.0
1981-01-27,0.896,1.98,0.0,-4.66,96.47,7.62,0.37,0.74,0.0,0.0,0.0,1.0
1981-01-28,0.859,1.9,0.0,-7.45,86.28,6.26,1.04,0.78,0.0,0.0,0.0,1.0
1981-01-29,0.823,1.82,0.0,-9.11,52.0,4.33,0.94,0.89,0.0,0.0,0.0,1.0
1981-01-30,0.787,1.74,0.0,-9.14,74.48,6.02,0.49,0.84,0.0,0.0,0.0,1.0
1981-01-31,0.755,1.67,0.0,-7.7,78.36,7.62,0.64,0.79,0.0,0.0,0.0,1.0
1981-02-01,0.724,1.6,0.0,-6.69,72.85,7.16,0.56,0.84,0.0,0.0,0.0,1.0
1981-02-02,0.697,1.54,0.0,-4.26,84.27,7.84,0.68,0.78,0.0,0.0,0.0,1.0
1981-02-03,0.701,1.55,0.08,1.47,73.8,2.49,1.86,0.67,0.46,0.46,0.44,0.88
1981-02-04,1.09,2.41,15.03,2.68,45.27,0.89,2.4,0.86,0.21,0.21,0.2,1.05
