date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,5.913,0.66,4.79,-5.73,51.07,1.05,3.17,0.62,0.48,0.48,0.48,0.63
1981-01-02,5.823,0.65,15.51,-8.23,48.61,0.03,2.41,0.87,0.04,0.04,0.04,0.63
1981-01-03,6.182,0.69,27.19,-3.46,55.94,0.98,1.83,0.81,0.02,0.02,0.01,0.63
1981-01-04,9.048,1.01,46.08,-5.1,25.42,0.01,2.69,0.89,0.0,0.0,0.0,0.63
1981-01-05,9.138,1.02,14.55,-12.15,28.27,0.01,3.76,0.76,0.19,0.19,0.19,0.63
1981-01-06,7.346,0.82,40.76,-11.28,15.41,0.0,3.12,0.83,0.07,0.07,0.07,0.63
1981-01-07,6.54,0.73,12.78,-14.93,35.02,0.03,3.69,0.72,0.19,0.19,0.19,0.63
1981-01-08,6.002,0.67,0.24,-16.86,63.27,4.33,2.65,0.64,0.02,0.02,0.02,0.63
1981-01-09,5.465,0.61,0.0,-10.23,64.22,0.32,1.24,0.69,0.09,0.09,0.08,0.6
1981-01-10,5.196,0.58,0.7,-6.27,49.68,0.0,0.57,0.83,0.02,0.02,0.02,0.62
1981-01-11,5.017,0.56,0.02,-6.9,62.64,0.89,1.31,0.75,0.02,0.02,0.02,0.62
1981-01-12,4.927,0.55,0.32,-8.88,74.39,4.89,2.04,0.64,0.0,0.0,0.0,0.62
1981-01-13,4.748,0.53,5.07,-10.12,53.06,0.02,2.37,0.83,0.05,0.05,0.05,0.63
1981-01-14,4.659,0.52,0.28,-11.79,79.98,4.61,2.13,0.73,0.0,0.0,0.0,0.63
1981-01-15,4.569,0.51,30.8,-8.86,41.02,0.03,3.52,0.81,0.22,0.22,0.22,0.63
1981-01-16,4.479,0.5,6.72,-12.88,48.89,0.12,2.47,0.78,0.09,0.09,0.09,0.63
1981-01-17,4.39,0.49,10.84,-7.47,57.79,1.16,1.69,0.79,0.01,0.01,0.0,0.63
1981-01-18,4.211,0.47,10.92,-8.41,54.02,0.19,2.02,0.86,0.03,0.03,0.02,0.63
1981-01-19,4.211,0.47,20.15,-7.27,34.35,0.01,1.97,0.86,0.01,0.01,0.01,0.63
1981-01-20,4.121,0.46,40.07,-9.59,36.23,0.01,3.46,0.9,0.03,0.03,0.03,0.63
1981-01-21,4.031,0.45,2.19,-12.49,76.39,3.05,2.7,0.75,0.02,0.02,0.01,0.63
