date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,0.085,1.06,1.0,1.08,19.91,0.22,1.59,0.77,0.07,0.07,0.07,1.35
1981-01-02,0.086,1.07,2.7,0.39,20.38,0.0,1.47,0.86,0.0,0.0,0.0,1.36
1981-01-03,0.278,3.47,15.45,3.69,17.32,0.06,2.71,0.83,0.11,0.11,0.11,1.37
1981-01-04,0.954,11.91,26.55,2.43,18.07,0.39,1.98,0.84,0.0,0.0,0.0,1.37
1981-01-05,0.839,10.47,3.78,-1.81,30.94,0.56,1.52,0.76,0.03,0.03,0.03,1.37
1981-01-06,0.533,6.65,17.78,-1.51,14.42,0.0,1.81,0.88,0.0,0.0,0.0,1.37
1981-01-07,0.361,4.5,2.1,-4.36,52.76,2.56,0.94,0.77,0.0,0.0,0.0,1.37
1981-01-08,0.239,2.98,0.36,-7.37,79.49,7.36,0.97,0.69,0.0,0.0,0.0,1.37
1981-01-09,0.154,1.92,0.0,-5.23,62.16,4.35,0.7,0.74,0.0,0.0,0.0,1.37
1981-01-10,0.108,1.35,6.91,-1.58,23.85,0.0,0.56,0.93,0.0,0.0,0.0,1.37
1981-01-11,0.103,1.28,0.14,-1.4,15.28,0.0,1.41,0.88,0.0,0.0,0.0,1.37
1981-01-12,0.098,1.22,10.35,-2.23,47.91,1.29,1.1,0.86,0.0,0.0,0.0,1.37
1981-01-13,0.093,1.16,5.29,-2.36,56.4,2.66,1.38,0.81,0.0,0.0,0.0,1.37
1981-01-14,0.089,1.11,1.89,-4.11,55.18,2.79,1.64,0.79,0.0,0.0,0.0,1.37
1981-01-15,0.108,1.35,37.33,-0.16,25.4,0.43,3.14,0.87,0.0,0.0,0.0,1.37
1981-01-16,0.132,1.65,3.96,-2.2,44.23,0.95,1.72,0.78,0.0,0.0,0.0,1.37
1981-01-17,0.179,2.24,12.3,1.87,25.1,0.09,2.76,0.86,0.03,0.03,0.03,1.37
1981-01-18,0.357,4.46,8.3,0.42,18.59,0.03,1.62,0.91,0.0,0.0,0.0,1.37
1981-01-19,0.481,6.0,9.5,1.81,15.33,0.0,2.27,0.9,0.0,0.0,0.0,1.37
1981-01-20,0.546,6.82,14.19,0.05,44.36,2.14,1.23,0.89,0.0,0.0,0.0,1.37
1981-01-21,0.457,5.7,0.22,-3.23,64.93,1.19,0.64,0.78,0.0,0.0,0.0,1.37
1981-01-22,0.308,3.85,0.0,-5.67,92.4,6.81,0.75,0.76,0.0,0.0,0.0,1.37
1981-01-23,0.206,2.57,0.0,-6.54,83.06,4.66,0.89,0.74,0.0,0.0,0.0,1.37
1981-01-24,0.135,1.69,0.0,-5.2,61.32,1.68,0.53,0.86,0.0,0.0,0.0,1.37
1981-01-25,0.107,1.33,0.03,-3.28,45.72,0.4,0.65,0.89,0.0,0.0,0.0,1.37
1981-01-26,0.104,1.3,0.0,0.36,75.19,5.37,1.03,0.84,0.0,0.0,0.0,1.37
1981-01-27,0.099,1.24,0.0,-4.66,94.01,5.69,0.78,0.8,0.0,0.0,0.0,1.37
1981-01-28,0.095,1.18,0.0,-4.97,98.66,7.05,1.02,0.68,0.0,0.0,0.0,1.37
1981-01-29,0.09,1.12,0.0,-4.29,89.03,5.0,0.79,0.78,0.0,0.0,0.0,1.37
1981-01-30,0.085,1.06,0.0,-4.62,73.76,1.73,0.73,0.79,0.16,0.16,0.16,1.29
1981-01-31,0.081,1.01,0.0,-3.77,87.4,1.91,0.62,0.77,0.3,0.3,0.3,1.15
1981-02-01,0.077,0.96,0.0,-2.36,75.67,1.49,0.58,0.81,0.27,0.27,0.27,1.03
1981-02-02,0.074,0.92,0.0,-1.22,92.44,1.96,0.68,0.79,0.46,0.46,0.46,0.81
1981-02-03,0.075,0.94,3.83,1.21,70.99,1.75,1.98,0.76,0.65,0.65,0.65,1.32
1981-02-04,0.146,1.82,15.39,2.34,27.09,0.12,2.42,0.88,0.2,0.2,0.2,1.38
1981-02-05,0.288,3.6,4.16,-1.15,68.2,2.43,1.43,0.79,0.26,0.26,0.26,1.37
1981-02-06,0.24,2.99,5.7,0.73,34.11,0.0,1.0,0.95,0.0,0.0,0.0,1.38
1981-02-07,0.28,3.5,0.2,3.57,31.13,0.0,0.87,0.91,0.0,0.0,0.0,1.38
1981-02-08,0.254,3.17,0.02,2.74,45.06,1.36,0.73,0.92,0.0,0.0,0.0,1.38
1981-02-09,0.22,2.75,0.01,1.96,72.5,1.29,1.07,0.85,0.04,0.04,0.04,1.36
1981-02-10,0.237,2.96,6.87,1.1,37.62,0.93,1.37,0.83,0.0,0.0,0.0,1.38
1981-02-11,0.288,3.59,0.0,-2.6,105.47,7.16,1.18,0.71,0.0,0.0,0.0,1.38
