date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,0.333,0.61,0.0,5.29,35.84,5.27,2.7,0.38,3.01,0.73,0.02,0.01
1981-01-02,0.322,0.59,0.0,2.96,47.7,6.62,2.81,0.5,2.11,0.42,0.01,0.0
1981-01-03,0.316,0.58,0.07,3.92,34.32,6.26,1.71,0.61,1.4,0.22,0.0,0.0
1981-01-04,0.305,0.56,0.17,2.87,24.02,3.81,1.63,0.77,0.81,0.2,0.08,0.07
1981-01-05,0.294,0.54,0.04,-1.57,38.37,4.55,2.17,0.52,1.45,0.27,0.06,0.02
1981-01-06,0.289,0.53,0.28,-2.86,13.4,0.0,1.0,0.76,0.54,0.23,0.18,0.11
1981-01-07,0.278,0.51,0.02,-3.99,33.04,5.83,1.91,0.54,1.11,0.22,0.08,0.03
1981-01-08,0.273,0.5,0.0,-5.42,38.65,6.87,2.79,0.45,1.34,0.18,0.01,0.02
1981-01-09,0.267,0.49,0.0,-7.27,49.55,6.64,0.31,0.62,0.24,0.04,0.0,0.02
1981-01-10,0.256,0.47,0.0,-4.08,36.29,0.02,0.14,0.65,0.38,0.07,0.01,0.01
1981-01-11,0.251,0.46,0.0,-1.49,45.88,1.75,0.21,0.74,0.4,0.06,0.0,0.01
1981-01-12,0.245,0.45,0.0,-3.95,38.89,6.66,0.49,0.7,0.26,0.03,0.0,0.01
1981-01-13,0.234,0.43,1.13,-1.89,38.22,0.01,1.66,0.66,1.1,0.29,0.17,0.67
1981-01-14,0.229,0.42,0.0,-0.62,40.35,4.94,2.16,0.4,0.92,0.49,0.43,0.34
1981-01-15,0.224,0.41,0.14,-1.07,34.72,3.61,1.5,0.63,1.02,0.43,0.34,0.08
1981-01-16,0.218,0.4,0.01,-2.11,51.08,7.17,1.96,0.5,1.37,0.19,0.04,0.04
1981-01-17,0.213,0.39,0.01,-1.24,50.71,5.67,0.43,0.75,0.32,0.04,0.0,0.04
1981-01-18,0.207,0.38,0.0,0.02,53.75,6.75,1.36,0.69,0.83,0.08,0.0,0.04
1981-01-19,0.202,0.37,0.08,0.17,36.96,1.9,0.56,0.74,0.6,0.08,0.01,0.05
1981-01-20,0.196,0.36,0.32,-0.07,20.81,2.71,1.52,0.72,0.82,0.27,0.2,0.13
1981-01-21,0.191,0.35,0.0,-0.59,58.41,7.09,3.02,0.43,1.98,0.28,0.09,0.05
1981-01-22,0.185,0.34,0.0,-0.05,59.59,7.38,2.56,0.4,2.04,0.21,0.02,0.04
1981-01-23,0.18,0.33,0.0,-2.18,58.63,6.94,1.24,0.55,1.07,0.09,0.0,0.04
1981-01-24,0.174,0.32,0.0,0.47,61.84,7.39,1.26,0.49,1.45,0.11,0.0,0.03
1981-01-25,0.169,0.31,0.0,3.68,63.73,5.68,2.65,0.39,2.82,0.25,0.03,0.0
