date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,0.274,0.6,4.06,-10.97,53.67,1.55,4.24,0.65,0.32,0.32,0.32,0.22
1981-01-02,0.269,0.59,26.21,-11.24,24.3,0.0,4.07,0.84,0.05,0.05,0.05,0.22
1981-01-03,0.265,0.58,47.03,-7.63,47.84,0.4,3.41,0.88,0.03,0.03,0.03,0.22
1981-01-04,0.265,0.58,73.88,-9.18,18.15,0.0,4.44,0.76,0.21,0.21,0.21,0.22
1981-01-05,0.26,0.57,27.17,-16.64,15.71,0.0,4.74,0.95,0.0,0.0,0.0,0.22
1981-01-06,0.255,0.56,42.39,-15.15,11.15,0.0,5.82,0.75,0.21,0.21,0.21,0.22
1981-01-07,0.251,0.55,15.36,-18.68,28.49,0.01,5.66,0.82,0.1,0.1,0.1,0.22
1981-01-08,0.246,0.54,0.79,-18.03,89.33,5.54,1.52,0.77,0.0,0.0,0.0,0.22
1981-01-09,0.246,0.54,0.0,-12.4,92.91,3.32,1.54,0.77,0.01,0.01,0.01,0.22
1981-01-10,0.242,0.53,0.38,-10.22,38.09,0.0,1.17,0.87,0.01,0.01,0.01,0.22
1981-01-11,0.237,0.52,0.05,-9.76,60.8,1.93,2.62,0.72,0.05,0.05,0.05,0.22
1981-01-12,0.237,0.52,1.08,-14.06,86.37,4.92,3.24,0.69,0.0,0.0,0.0,0.22
1981-01-13,0.233,0.51,8.09,-13.36,91.91,2.22,4.33,0.58,0.34,0.34,0.34,0.22
1981-01-14,0.228,0.5,2.28,-14.78,112.98,4.51,2.68,0.67,0.0,0.0,0.0,0.22
1981-01-15,0.228,0.5,61.6,-13.45,33.06,0.0,4.61,1.0,0.0,0.0,0.0,0.22
1981-01-16,0.224,0.49,10.95,-16.46,42.72,0.35,3.85,0.94,0.0,0.0,0.0,0.22
1981-01-17,0.219,0.48,18.75,-11.2,30.68,0.01,2.04,0.99,0.0,0.0,0.0,0.22
1981-01-18,0.219,0.48,15.95,-12.18,12.35,0.0,3.27,0.98,0.0,0.0,0.0,0.22
1981-01-19,0.214,0.47,35.65,-11.19,23.97,0.0,4.32,0.99,0.0,0.0,0.0,0.22
1981-01-20,0.214,0.47,59.75,-13.05,22.48,0.0,6.82,0.9,0.04,0.04,0.04,0.22
1981-01-21,0.21,0.46,2.0,-15.1,87.44,4.47,3.13,0.77,0.0,0.0,0.0,0.22
1981-01-22,0.21,0.46,0.0,-11.57,132.63,6.12,4.76,0.45,0.25,0.25,0.25,0.2
1981-01-23,0.205,0.45,0.0,-9.15,146.95,6.02,2.72,0.37,0.23,0.23,0.23,0.19
1981-01-24,0.205,0.45,0.0,-8.64,142.29,5.03,1.88,0.41,0.24,0.24,0.24,0.16
1981-01-25,0.201,0.44,0.03,-10.78,99.59,3.59,2.09,0.67,0.13,0.13,0.13,0.16
1981-01-26,0.201,0.44,1.58,-13.39,113.77,2.83,4.02,0.78,0.24,0.24,0.24,0.21
1981-01-27,0.196,0.43,0.0,-11.69,139.62,5.61,3.84,0.31,0.34,0.34,0.34,0.18
1981-01-28,0.196,0.43,0.0,-7.81,133.57,5.74,4.3,0.46,0.39,0.39,0.39,0.14
1981-01-29,0.192,0.42,0.0,-9.49,126.9,5.68,1.3,0.5,0.02,0.02,0.02,0.14
1981-01-30,0.192,0.42,0.0,-10.79,129.43,5.69,1.52,0.37,0.13,0.13,0.13,0.13
1981-01-31,0.187,0.41,0.0,-8.15,131.3,6.15,1.67,0.43,0.2,0.2,0.2,0.12
1981-02-01,0.187,0.41,0.0,-6.53,121.46,5.89,0.91,0.43,0.09,0.09,0.09,0.12
1981-02-02,0.187,0.41,0.0,-8.53,130.96,6.07,0.55,0.44,0.11,0.11,0.11,0.12
1981-02-03,0.182,0.4,4.44,-8.09,89.12,2.74,1.63,0.67,0.29,0.29,0.29,0.22
1981-02-04,0.182,0.4,29.56,-8.57,29.45,0.01,3.93,0.84,0.05,0.05,0.05,0.22
1981-02-05,0.178,0.39,15.2,-15.15,48.02,0.08,2.73,0.9,0.01,0.01,0.01,0.22
1981-02-06,0.178,0.39,22.72,-9.35,48.4,0.0,4.13,0.92,0.01,0.01,0.01,0.22
1981-02-07,0.178,0.39,10.01,-3.88,71.81,0.07,3.79,0.9,0.08,0.08,0.08,0.22
1981-02-08,0.173,0.38,0.02,-4.38,109.31,6.85,2.53,0.68,0.0,0.0,0.0,0.22
1981-02-09,0.173,0.38,0.0,-4.45,112.49,6.98,3.97,0.66,0.04,0.04,0.04,0.22
1981-02-10,0.173,0.38,7.11,-10.39,67.35,0.27,2.05,0.73,0.21,0.21,0.21,0.22
1981-02-11,0.169,0.37,0.1,-16.19,140.86,5.16,0.54,0.61,0.0,0.0,0.0,0.22
1981-02-12,0.169,0.37,0.07,-18.81,149.31,7.27,0.33,0.43,0.0,0.0,0.0,0.22
1981-02-13,0.169,0.37,0.0,-15.95,150.95,7.61,0.97,0.33,0.02,0.02,0.02,0.22
1981-02-14,0.164,0.36,0.0,-11.9,148.91,7.71,2.89,0.28,0.27,0.27,0.27,0.19
1981-02-15,0.164,0.36,0.0,-10.15,142.84,7.82,3.23,0.34,0.34,0.34,0.34,0.16
1981-02-16,0.164,0.36,0.0,-9.06,151.35,7.8,0.92,0.27,0.13,0.13,0.13,0.15
1981-02-17,0.16,0.35,0.0,-13.22,134.32,7.42,1.05,0.32,0.11,0.11,0.11,0.14
1981-02-18,0.16,0.35,0.28,-17.49,132.95,1.08,1.68,0.56,0.49,0.49,0.49,0.14
