date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,1.214,1.56,3.13,1.27,22.63,0.15,3.83,0.76,0.59,0.59,0.59,0.86
1981-01-02,1.58,2.03,10.31,0.02,19.64,0.01,3.55,0.87,0.15,0.15,0.15,0.88
1981-01-03,3.105,3.99,7.46,4.11,22.1,0.14,5.9,0.74,1.21,1.21,1.21,0.85
1981-01-04,6.606,8.49,17.98,0.74,17.36,0.17,2.39,0.91,0.0,0.0,0.0,0.88
1981-01-05,5.812,7.47,6.29,-2.04,46.36,1.49,3.01,0.81,0.07,0.07,0.06,0.88
1981-01-06,4.217,5.42,10.31,-1.71,28.27,0.22,3.28,0.85,0.08,0.08,0.08,0.88
1981-01-07,3.245,4.17,4.18,-5.06,40.85,1.66,1.46,0.79,0.0,0.0,0.0,0.88
1981-01-08,2.389,3.07,1.46,-9.09,57.07,4.96,0.87,0.8,0.0,0.0,0.0,0.88
1981-01-09,1.79,2.3,0.94,-6.69,39.37,0.11,0.52,0.85,0.0,0.0,0.0,0.88
1981-01-10,1.408,1.81,3.42,-2.71,30.09,0.02,0.53,0.91,0.0,0.0,0.0,0.88
1981-01-11,1.299,1.67,0.0,-2.12,17.47,0.35,1.47,0.86,0.0,0.0,0.0,0.88
1981-01-12,1.253,1.61,0.68,-2.66,45.92,4.52,1.03,0.82,0.0,0.0,0.0,0.88
1981-01-13,1.206,1.55,5.94,-2.86,20.18,0.02,0.92,0.89,0.0,0.0,0.0,0.88
1981-01-14,1.167,1.5,0.27,-4.63,37.82,5.12,2.02,0.78,0.0,0.0,0.0,0.88
1981-01-15,1.198,1.54,22.41,-0.69,41.36,1.49,3.22,0.87,0.0,0.0,0.0,0.88
1981-01-16,1.222,1.57,2.82,-3.19,34.98,0.13,2.66,0.75,0.26,0.26,0.26,0.87
1981-01-17,1.331,1.71,3.95,1.51,39.65,1.15,3.01,0.8,0.05,0.05,0.05,0.88
1981-01-18,1.712,2.2,3.43,0.39,24.74,0.02,2.73,0.84,0.11,0.11,0.11,0.88
1981-01-19,2.342,3.01,6.79,0.92,17.72,0.02,2.8,0.86,0.02,0.02,0.02,0.88
1981-01-20,2.716,3.49,6.57,-1.1,27.05,0.16,1.11,0.87,0.0,0.0,0.0,0.88
1981-01-21,2.233,2.87,0.05,-4.72,69.23,4.16,0.64,0.82,0.0,0.0,0.0,0.88
1981-01-22,1.704,2.19,0.0,-8.03,61.39,3.11,0.74,0.9,0.0,0.0,0.0,0.88
1981-01-23,1.369,1.76,0.0,-8.73,64.55,3.38,0.81,0.89,0.0,0.0,0.0,0.88
1981-01-24,1.198,1.54,0.0,-8.03,38.86,0.94,0.64,0.92,0.0,0.0,0.0,0.88
1981-01-25,1.128,1.45,0.63,-5.29,41.87,0.52,0.89,0.91,0.0,0.0,0.0,0.88
1981-01-26,1.097,1.41,3.85,-1.38,64.71,3.73,0.94,0.97,0.0,0.0,0.0,0.88
1981-01-27,1.058,1.36,0.0,-5.23,65.22,3.48,0.67,0.94,0.0,0.0,0.0,0.88
1981-01-28,1.019,1.31,0.0,-5.91,57.63,2.62,0.89,0.9,0.0,0.0,0.0,0.88
1981-01-29,0.98,1.26,0.0,-7.45,36.76,0.98,0.74,0.91,0.0,0.0,0.0,0.88
1981-01-30,0.942,1.21,0.0,-8.47,53.85,1.61,0.43,0.97,0.0,0.0,0.0,0.88
1981-01-31,0.91,1.17,0.0,-6.75,56.58,2.74,0.4,0.93,0.0,0.0,0.0,0.88
1981-02-01,0.871,1.12,0.0,-4.84,58.7,2.95,0.44,0.89,0.0,0.0,0.0,0.88
1981-02-02,0.84,1.08,0.0,-3.62,63.45,3.01,0.39,0.84,0.0,0.0,0.0,0.88
1981-02-03,0.879,1.13,6.43,0.2,48.54,1.02,1.97,0.77,0.34,0.34,0.34,0.93
1981-02-04,1.587,2.04,14.63,1.65,35.13,0.45,2.74,0.89,0.0,0.0,0.0,0.94
1981-02-05,2.801,3.6,6.84,-1.53,44.03,0.97,2.23,0.83,0.01,0.01,0.01,0.94
1981-02-06,2.599,3.34,5.21,0.58,26.19,0.04,2.72,0.9,0.0,0.0,0.0,0.94
1981-02-07,3.564,4.58,4.5,3.59,25.94,0.04,1.74,0.91,0.0,0.0,0.0,0.94
1981-02-08,5.027,6.46,0.0,3.95,39.96,1.04,1.37,0.88,0.01,0.01,0.01,0.94
1981-02-09,4.949,6.36,0.0,1.57,80.37,4.21,0.98,0.87,0.02,0.02,0.01,0.93
1981-02-10,4.676,6.01,3.12,1.1,34.13,0.05,2.31,0.86,0.18,0.18,0.16,0.93
1981-02-11,4.35,5.59,1.55,-1.77,83.44,3.81,0.61,0.82,0.03,0.03,0.01,0.93
1981-02-12,3.354,4.31,0.0,-3.87,92.93,4.05,0.99,0.72,0.01,0.01,0.01,0.93
1981-02-13,2.451,3.15,0.0,-4.6,124.97,8.71,1.7,0.65,0.05,0.05,0.03,0.91
1981-02-14,1.774,2.28,0.0,-5.07,125.45,8.15,0.95,0.71,0.03,0.03,0.0,0.9
1981-02-15,1.354,1.74,0.0,-4.39,124.68,7.43,0.67,0.74,0.03,0.03,0.0,0.9
1981-02-16,1.206,1.55,0.0,-3.1,129.45,8.6,1.13,0.69,0.04,0.04,0.0,0.9
1981-02-17,1.159,1.49,0.0,-3.11,52.08,1.21,1.58,0.72,0.28,0.28,0.23,0.81
1981-02-18,1.12,1.44,1.73,-3.19,59.21,0.93,1.41,0.71,0.4,0.4,0.35,0.87
1981-02-19,1.082,1.39,0.46,-4.32,50.58,0.92,1.41,0.82,0.05,0.04,0.04,0.87
1981-02-20,1.043,1.34,0.0,-3.91,49.08,1.08,0.66,0.78,0.03,0.03,0.03,0.86
1981-02-21,1.004,1.29,1.93,-3.57,71.08,0.58,0.85,0.75,0.13,0.13,0.09,0.9
1981-02-22,0.965,1.24,0.52,-4.32,123.84,6.64,0.95,0.8,0.0,0.0,0.0,0.9
1981-02-23,0.926,1.19,0.0,-4.82,66.25,1.58,0.73,0.86,0.0,0.0,0.0,0.9
1981-02-24,0.895,1.15,0.0,-3.27,103.58,5.55,0.72,0.81,0.0,0.0,0.0,0.9
1981-02-25,0.864,1.11,0.0,-2.67,69.55,1.11,1.13,0.82,0.09,0.09,0.06,0.86
1981-02-26,0.84,1.08,0.0,-1.65,58.73,1.15,0.78,0.77,0.07,0.07,0.05,0.84
1981-02-27,0.817,1.05,0.0,-2.52,145.23,8.08,0.89,0.65,0.06,0.06,0.0,0.84
1981-02-28,0.801,1.03,2.39,-1.47,73.49,1.89,0.75,0.73,0.21,0.21,0.17,0.91
1981-03-01,1.074,1.38,2.56,2.89,98.76,2.38,1.02,0.84,0.0,0.0,0.0,1.0
1981-03-02,1.751,2.25,0.43,2.74,70.58,0.37,0.92,0.85,0.11,0.1,0.08,0.99
1981-03-03,2.793,3.59,11.29,1.95,57.99,0.07,1.04,0.9,0.09,0.09,0.07,1.03
1981-03-04,4.303,5.53,5.54,0.69,43.96,0.07,0.56,0.93,0.02,0.02,0.01,1.03
1981-03-05,4.412,5.67,0.01,1.45,110.3,3.23,0.82,0.8,0.15,0.15,0.11,0.96
1981-03-06,4.49,5.77,2.53,2.5,62.79,0.08,1.5,0.83,0.37,0.36,0.3,1.0
1981-03-07,6.941,8.92,0.65,7.07,164.19,8.5,1.31,0.73,0.34,0.33,0.22,0.93
1981-03-08,10.707,13.76,6.2,7.35,45.82,0.08,1.73,0.79,0.57,0.57,0.49,1.01
