date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,109.811,0.92,1.45,-3.83,41.58,0.35,3.39,0.69,0.5,0.5,0.47,0.74
1981-01-02,109.811,0.92,5.61,-4.34,28.29,0.02,2.97,0.83,0.12,0.12,0.1,0.79
1981-01-03,174.266,1.46,25.29,-0.93,31.53,0.12,3.89,0.8,0.29,0.29,0.27,0.85
1981-01-04,463.117,3.88,40.68,-2.12,15.77,0.07,4.35,0.85,0.15,0.15,0.12,0.85
1981-01-05,464.311,3.89,6.54,-7.84,34.84,0.67,3.77,0.79,0.2,0.2,0.16,0.83
1981-01-06,334.208,2.8,20.13,-7.0,10.24,0.0,4.45,0.85,0.12,0.12,0.11,0.82
1981-01-07,275.722,2.31,3.61,-10.26,34.71,1.12,3.06,0.79,0.09,0.09,0.06,0.78
1981-01-08,217.235,1.82,0.15,-11.28,67.9,5.75,1.72,0.68,0.05,0.05,0.03,0.77
1981-01-09,171.878,1.44,0.0,-7.58,65.25,4.86,1.37,0.7,0.04,0.04,0.02,0.76
1981-01-10,140.845,1.18,4.04,-4.68,34.77,0.0,0.91,0.81,0.03,0.03,0.03,0.77
1981-01-11,127.715,1.07,0.23,-4.58,47.77,1.6,2.29,0.75,0.04,0.04,0.03,0.77
1981-01-12,120.554,1.01,4.54,-5.47,60.93,1.26,2.76,0.67,0.29,0.29,0.28,0.77
1981-01-13,118.166,0.99,7.16,-7.24,53.39,1.32,2.51,0.83,0.07,0.07,0.03,0.78
1981-01-14,115.779,0.97,0.91,-8.31,73.72,3.25,2.57,0.78,0.04,0.04,0.01,0.78
1981-01-15,157.555,1.32,36.48,-5.61,28.28,0.16,4.53,0.87,0.15,0.15,0.13,0.78
1981-01-16,194.557,1.63,5.06,-7.85,47.06,0.82,3.3,0.81,0.12,0.12,0.08,0.78
1981-01-17,192.17,1.61,14.74,-3.76,35.5,0.18,3.03,0.87,0.09,0.09,0.06,0.78
1981-01-18,236.333,1.98,9.91,-4.75,31.48,0.04,3.06,0.89,0.07,0.07,0.06,0.79
1981-01-19,274.528,2.3,12.61,-3.21,24.82,0.0,4.01,0.88,0.09,0.09,0.08,0.79
1981-01-20,331.821,2.78,28.55,-5.29,29.88,1.02,4.7,0.89,0.06,0.06,0.03,0.8
1981-01-21,291.239,2.44,0.24,-7.83,75.1,2.34,2.29,0.71,0.17,0.17,0.13,0.76
1981-01-22,227.978,1.91,0.0,-6.43,93.09,6.1,2.88,0.56,0.26,0.26,0.25,0.71
1981-01-23,186.202,1.56,0.0,-5.25,96.34,5.61,2.11,0.51,0.25,0.25,0.24,0.68
1981-01-24,153.974,1.29,0.01,-4.07,93.1,4.2,1.34,0.5,0.15,0.15,0.14,0.66
1981-01-25,130.102,1.09,0.01,-4.85,78.75,1.48,1.46,0.58,0.38,0.38,0.37,0.58
1981-01-26,115.779,0.97,0.12,-4.91,83.67,4.51,2.55,0.72,0.15,0.15,0.12,0.58
1981-01-27,111.005,0.93,0.0,-5.93,97.27,5.41,2.72,0.53,0.35,0.35,0.33,0.55
1981-01-28,106.23,0.89,0.0,-4.47,101.44,6.26,2.98,0.52,0.42,0.42,0.39,0.51
1981-01-29,102.65,0.86,0.0,-5.08,103.37,5.95,1.3,0.59,0.11,0.11,0.09,0.51
1981-01-30,100.262,0.84,0.0,-4.3,103.89,4.79,1.36,0.48,0.25,0.25,0.24,0.48
1981-01-31,99.069,0.83,0.0,-2.57,109.55,5.23,1.48,0.47,0.37,0.37,0.35,0.44
1981-02-01,100.262,0.84,0.0,-1.52,105.83,4.16,1.0,0.49,0.36,0.36,0.35,0.39
1981-02-02,102.65,0.86,0.0,-1.58,108.96,4.95,0.98,0.5,0.33,0.33,0.3,0.36
1981-02-03,105.037,0.88,4.12,-0.91,90.26,2.9,2.47,0.59,0.79,0.78,0.72,0.78
1981-02-04,137.264,1.15,21.89,-2.35,43.17,0.1,3.78,0.88,0.21,0.21,0.18,0.88
1981-02-05,195.75,1.64,4.42,-6.88,64.33,1.42,2.62,0.8,0.21,0.21,0.15,0.87
1981-02-06,177.846,1.49,7.23,-2.97,46.3,0.02,2.8,0.88,0.1,0.1,0.07,0.88
1981-02-07,185.008,1.55,0.63,0.81,43.28,0.05,2.28,0.87,0.1,0.1,0.07,0.86
1981-02-08,183.814,1.54,0.02,1.2,104.88,4.7,1.81,0.72,0.12,0.12,0.1,0.82
1981-02-09,183.814,1.54,0.0,1.58,123.26,4.26,2.7,0.6,0.59,0.59,0.56,0.64
1981-02-10,180.234,1.51,5.46,-3.27,56.73,1.28,2.45,0.74,0.28,0.28,0.21,0.86
1981-02-11,169.491,1.42,0.0,-7.59,113.4,6.0,1.57,0.7,0.16,0.16,0.07,0.79
1981-02-12,140.845,1.18,0.0,-8.83,139.83,7.99,1.66,0.56,0.18,0.18,0.06,0.74
1981-02-13,121.747,1.02,0.0,-7.93,142.72,7.82,1.47,0.48,0.16,0.16,0.05,0.71
1981-02-14,111.005,0.93,0.0,-5.93,142.85,8.08,2.17,0.44,0.38,0.38,0.28,0.64
1981-02-15,105.037,0.88,0.0,-4.55,142.38,7.98,1.98,0.45,0.41,0.4,0.32,0.58
1981-02-16,101.456,0.85,0.0,-3.82,145.51,7.92,1.17,0.47,0.28,0.27,0.19,0.53
1981-02-17,97.875,0.82,0.0,-6.84,132.99,4.13,1.19,0.65,0.43,0.42,0.36,0.43
1981-02-18,94.294,0.79,0.49,-8.92,99.54,0.49,1.98,0.82,0.57,0.54,0.41,0.48
1981-02-19,91.907,0.77,0.0,-9.37,129.36,5.04,1.61,0.69,0.19,0.17,0.05,0.45
1981-02-20,88.326,0.74,0.0,-8.58,145.78,6.71,1.38,0.58,0.16,0.13,0.02,0.45
1981-02-21,84.746,0.71,0.12,-9.54,111.98,1.46,1.28,0.74,0.34,0.31,0.2,0.43
1981-02-22,82.358,0.69,0.0,-8.02,140.39,5.31,2.4,0.61,0.35,0.32,0.21,0.39
1981-02-23,79.971,0.67,0.26,-6.55,135.13,4.33,1.63,0.71,0.31,0.28,0.19,0.45
1981-02-24,78.778,0.66,0.91,-5.38,131.0,3.92,1.29,0.7,0.29,0.27,0.17,0.57
1981-02-25,77.584,0.65,0.0,-4.95,164.21,6.34,1.87,0.62,0.33,0.31,0.21,0.48
1981-02-26,75.197,0.63,0.0,-4.87,165.05,7.22,1.32,0.58,0.29,0.27,0.16,0.43
1981-02-27,74.003,0.62,0.0,-4.45,160.19,4.52,2.7,0.52,0.91,0.87,0.72,0.31
1981-02-28,79.971,0.67,6.09,-2.64,70.95,0.06,3.32,0.74,0.65,0.62,0.57,0.79
1981-03-01,113.392,0.95,9.86,-1.49,97.33,0.34,1.35,0.83,0.32,0.32,0.26,0.95
1981-03-02,143.232,1.2,3.7,-1.13,115.92,1.37,1.67,0.79,0.41,0.41,0.32,0.92
1981-03-03,182.621,1.53,16.99,-3.06,56.86,0.06,1.88,0.9,0.11,0.11,0.08,0.97
1981-03-04,224.397,1.88,2.71,-2.92,103.91,1.0,2.08,0.82,0.33,0.33,0.26,0.92
1981-03-05,192.17,1.61,0.0,-2.62,165.16,7.74,2.43,0.66,0.31,0.31,0.17,0.79
1981-03-06,175.459,1.47,3.3,-0.65,81.18,0.01,2.07,0.71,0.6,0.6,0.54,0.89
1981-03-07,199.331,1.67,0.29,2.91,177.44,7.47,2.38,0.67,0.46,0.46,0.28,0.71
1981-03-08,264.979,2.22,11.55,3.13,50.7,0.0,3.0,0.77,0.51,0.51,0.46,0.96
1981-03-09,370.016,3.1,0.38,4.3,153.38,5.51,1.24,0.74,0.56,0.56,0.35,0.74
1981-03-10,404.631,3.39,0.8,5.63,97.46,0.98,1.41,0.75,0.85,0.85,0.58,0.59
1981-03-11,535.927,4.49,2.33,8.2,83.23,0.28,2.51,0.63,1.61,1.58,1.24,0.4
1981-03-12,1116.017,9.35,38.19,3.42,38.54,0.01,2.88,0.87,0.26,0.26,0.22,0.98
1981-03-13,1148.244,9.62,12.06,0.25,134.18,2.23,2.08,0.82,0.88,0.88,0.74,0.98
1981-03-14,777.034,6.51,1.67,-0.37,180.41,5.0,2.05,0.71,0.85,0.85,0.63,0.81
1981-03-15,509.667,4.27,2.26,-1.61,132.68,2.11,1.68,0.75,0.6,0.6,0.48,0.81
1981-03-16,414.179,3.47,2.12,-2.33,147.76,2.17,1.74,0.74,0.66,0.66,0.49,0.77
1981-03-17,346.144,2.9,6.18,-4.84,127.93,1.66,1.86,0.76,0.48,0.47,0.37,0.9
1981-03-18,285.271,2.39,2.3,-6.6,136.72,2.43,3.23,0.75,0.51,0.51,0.36,0.8
1981-03-19,229.171,1.92,0.0,-3.21,226.03,10.43,1.66,0.57,0.4,0.39,0.14,0.66
