date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,4.406,1.0,3.11,-5.74,35.16,0.43,2.19,0.78,0.1,0.1,0.1,0.58
1981-01-02,4.406,1.0,13.43,-6.39,17.98,0.0,1.37,0.91,0.0,0.0,0.0,0.59
1981-01-03,5.595,1.27,35.2,-3.41,21.46,0.39,1.89,0.86,0.06,0.06,0.06,0.59
1981-01-04,9.649,2.19,51.68,-4.95,9.39,0.01,1.66,0.87,0.01,0.01,0.01,0.59
1981-01-05,9.428,2.14,7.98,-11.21,9.9,0.03,1.84,0.89,0.0,0.0,0.0,0.59
1981-01-06,7.225,1.64,27.56,-10.0,7.89,0.0,3.06,0.93,0.01,0.01,0.01,0.59
1981-01-07,6.3,1.43,9.93,-14.06,6.28,0.08,4.14,0.99,0.0,0.0,0.0,0.59
1981-01-08,5.507,1.25,1.29,-14.53,54.09,6.44,3.15,0.87,0.0,0.0,0.0,0.59
1981-01-09,4.89,1.11,0.0,-8.0,48.29,3.16,2.36,0.77,0.0,0.0,0.0,0.59
1981-01-10,4.45,1.01,1.78,-4.6,33.42,0.0,1.58,0.87,0.02,0.02,0.02,0.59
1981-01-11,4.141,0.94,0.0,-6.41,33.51,0.35,2.18,0.85,0.05,0.05,0.05,0.58
1981-01-12,3.921,0.89,1.74,-6.93,58.6,4.41,1.97,0.74,0.0,0.0,0.0,0.59
1981-01-13,3.789,0.86,14.83,-9.45,40.81,1.08,2.27,0.99,0.0,0.0,0.0,0.59
1981-01-14,3.701,0.84,1.87,-10.73,62.62,4.85,1.49,0.95,0.0,0.0,0.0,0.59
1981-01-15,3.745,0.85,36.57,-7.74,14.75,0.01,1.51,0.89,0.03,0.03,0.03,0.59
1981-01-16,3.833,0.87,6.36,-11.26,37.53,0.37,2.66,0.94,0.01,0.01,0.01,0.59
1981-01-17,3.789,0.86,16.3,-5.79,23.48,0.02,1.59,0.91,0.01,0.01,0.01,0.59
1981-01-18,4.097,0.93,13.34,-7.02,11.05,0.0,1.68,0.96,0.0,0.0,0.0,0.59
1981-01-19,4.45,1.01,14.69,-4.98,17.74,0.0,1.55,0.89,0.01,0.01,0.01,0.59
1981-01-20,4.626,1.05,43.51,-8.47,8.16,0.01,3.85,0.99,0.0,0.0,0.0,0.59
1981-01-21,4.406,1.0,1.23,-10.04,50.85,3.16,2.43,0.88,0.0,0.0,0.0,0.59
1981-01-22,4.009,0.91,0.0,-7.22,81.52,6.77,2.84,0.61,0.02,0.02,0.02,0.59
1981-01-23,3.701,0.84,0.0,-5.22,90.43,6.81,3.33,0.52,0.16,0.16,0.16,0.56
1981-01-24,3.481,0.79,0.0,-2.95,96.26,5.34,2.75,0.5,0.23,0.23,0.23,0.52
1981-01-25,3.348,0.76,0.0,-5.02,74.47,2.36,1.71,0.67,0.13,0.13,0.13,0.5
1981-01-26,3.26,0.74,2.35,-7.59,62.68,1.94,2.04,0.92,0.03,0.03,0.03,0.58
1981-01-27,3.128,0.71,0.0,-7.54,128.53,6.96,2.43,0.36,0.05,0.05,0.05,0.57
1981-01-28,3.04,0.69,0.02,-5.38,113.81,6.96,2.95,0.5,0.06,0.06,0.06,0.56
1981-01-29,2.996,0.68,0.0,-5.83,117.97,6.86,2.44,0.58,0.04,0.04,0.04,0.55
1981-01-30,2.908,0.66,0.0,-4.7,126.95,7.12,2.04,0.42,0.1,0.1,0.1,0.53
1981-01-31,2.908,0.66,0.0,-2.17,127.02,7.23,3.17,0.41,0.46,0.46,0.46,0.45
1981-02-01,2.952,0.67,0.0,-0.2,119.93,6.46,1.91,0.41,0.26,0.26,0.26,0.4
1981-02-02,3.04,0.69,0.0,-1.72,102.32,7.17,1.97,0.46,0.09,0.09,0.09,0.39
1981-02-03,3.128,0.71,1.37,-0.44,93.1,3.75,2.43,0.52,0.58,0.58,0.58,0.49
1981-02-04,3.348,0.76,26.76,-3.77,33.21,0.02,1.99,0.84,0.09,0.09,0.09,0.62
1981-02-05,3.613,0.82,9.18,-10.39,37.42,0.36,1.86,0.95,0.0,0.0,0.0,0.62
1981-02-06,3.437,0.78,13.43,-5.34,20.76,0.0,1.59,0.98,0.0,0.0,0.0,0.62
1981-02-07,3.657,0.83,2.8,-0.77,33.25,0.04,1.82,0.92,0.0,0.0,0.0,0.62
1981-02-08,4.053,0.92,0.0,0.09,89.57,5.41,1.88,0.83,0.0,0.0,0.0,0.62
1981-02-09,4.406,1.0,0.0,1.36,113.25,5.4,2.53,0.63,0.12,0.12,0.12,0.58
1981-02-10,4.494,1.02,8.25,-5.5,36.85,0.11,1.89,0.88,0.03,0.03,0.03,0.62
1981-02-11,4.185,0.95,0.28,-10.2,86.99,5.56,1.08,0.88,0.0,0.0,0.0,0.62
1981-02-12,3.701,0.84,0.38,-12.13,115.72,7.34,1.33,0.62,0.0,0.0,0.0,0.62
1981-02-13,3.348,0.76,0.0,-10.37,128.84,7.59,2.87,0.53,0.04,0.04,0.04,0.62
1981-02-14,3.128,0.71,0.0,-6.82,135.78,7.62,2.37,0.37,0.1,0.1,0.1,0.6
1981-02-15,2.996,0.68,0.0,-5.38,136.4,7.63,2.33,0.41,0.13,0.13,0.13,0.59
1981-02-16,2.908,0.66,0.0,-4.02,141.56,7.6,3.01,0.42,0.38,0.38,0.38,0.53
1981-02-17,2.864,0.65,0.0,-8.84,98.13,5.5,2.75,0.6,0.17,0.17,0.17,0.51
1981-02-18,2.776,0.63,0.41,-11.8,97.05,3.65,1.38,0.98,0.02,0.02,0.02,0.57
1981-02-19,2.732,0.62,0.03,-12.01,138.58,6.7,2.38,0.83,0.0,0.0,0.0,0.57
1981-02-20,2.643,0.6,0.0,-11.27,139.01,7.17,1.95,0.72,0.0,0.0,0.0,0.57
1981-02-21,2.599,0.59,0.43,-11.49,99.71,4.29,1.2,0.84,0.01,0.01,0.01,0.59
1981-02-22,2.555,0.58,0.0,-10.22,128.35,5.61,2.08,0.65,0.01,0.01,0.01,0.59
1981-02-23,2.511,0.57,0.0,-9.63,140.42,7.95,2.12,0.74,0.0,0.0,0.0,0.59
1981-02-24,2.467,0.56,0.07,-9.21,127.52,4.18,2.34,0.83,0.05,0.05,0.05,0.58
1981-02-25,2.423,0.55,0.0,-7.85,180.56,8.11,2.33,0.75,0.0,0.0,0.0,0.58
1981-02-26,2.379,0.54,0.0,-7.17,158.47,7.56,1.17,0.69,0.0,0.0,0.0,0.58
1981-02-27,2.335,0.53,0.0,-6.0,183.2,7.59,2.53,0.47,0.3,0.3,0.3,0.51
1981-02-28,2.335,0.53,1.78,-2.57,67.6,0.0,1.68,0.76,0.3,0.3,0.3,0.58
1981-03-01,2.511,0.57,11.3,-2.77,66.99,0.09,1.53,0.92,0.01,0.01,0.01,0.64
1981-03-02,2.82,0.64,3.03,-3.36,71.56,0.08,1.61,0.95,0.02,0.02,0.02,0.64
1981-03-03,3.128,0.71,14.47,-4.7,61.55,0.0,2.05,0.97,0.02,0.02,0.02,0.64
1981-03-04,3.569,0.81,13.84,-5.49,81.42,0.05,1.84,0.95,0.08,0.08,0.08,0.64
1981-03-05,3.877,0.88,0.04,-5.44,147.75,5.65,2.13,0.77,0.07,0.07,0.07,0.61
1981-03-06,3.789,0.86,2.72,-2.65,75.68,0.0,1.87,0.76,0.22,0.22,0.22,0.62
1981-03-07,4.185,0.95,0.65,0.31,185.99,7.64,2.69,0.75,0.1,0.1,0.1,0.59
1981-03-08,5.199,1.18,11.06,1.7,50.1,0.0,2.32,0.73,0.29,0.29,0.29,0.64
1981-03-09,6.873,1.56,0.28,1.77,178.53,5.14,1.87,0.79,0.26,0.26,0.26,0.56
1981-03-10,8.239,1.87,3.44,2.94,76.14,0.04,2.26,0.82,0.4,0.4,0.39,0.62
1981-03-11,13.041,2.96,8.36,6.18,84.26,0.34,1.95,0.68,0.94,0.94,0.93,0.65
1981-03-12,27.448,6.23,45.96,1.02,34.51,0.0,1.57,0.88,0.05,0.05,0.05,0.65
1981-03-13,28.109,6.38,10.13,-2.24,126.58,1.96,1.2,0.86,0.54,0.54,0.54,0.65
1981-03-14,18.945,4.3,0.81,-3.55,194.4,8.06,1.32,0.84,0.17,0.17,0.17,0.59
