date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,1.444,1.67,2.73,1.4,22.53,0.16,3.79,0.76,0.58,0.58,0.58,0.85
1981-01-02,1.989,2.3,8.69,0.19,19.56,0.01,3.52,0.87,0.14,0.14,0.14,0.87
1981-01-03,3.614,4.18,7.24,4.25,21.76,0.14,5.91,0.74,1.23,1.22,1.22,0.87
1981-01-04,7.868,9.1,18.74,0.9,16.92,0.18,2.45,0.91,0.02,0.02,0.01,0.93
1981-01-05,6.563,7.59,4.93,-1.84,47.27,1.59,3.05,0.8,0.13,0.13,0.09,0.87
1981-01-06,4.591,5.31,9.39,-1.53,28.38,0.23,3.3,0.85,0.08,0.08,0.08,0.87
1981-01-07,3.58,4.14,3.81,-4.86,41.35,1.73,1.47,0.79,0.0,0.0,0.0,0.88
1981-01-08,2.663,3.08,1.03,-8.93,56.71,4.99,0.83,0.79,0.0,0.0,0.0,0.88
1981-01-09,2.032,2.35,0.75,-6.58,39.29,0.12,0.48,0.84,0.0,0.0,0.0,0.88
1981-01-10,1.608,1.86,3.02,-2.64,29.58,0.01,0.54,0.91,0.0,0.0,0.0,0.88
1981-01-11,1.444,1.67,0.0,-1.93,16.13,0.28,1.52,0.86,0.0,0.0,0.0,0.88
1981-01-12,1.401,1.62,0.72,-2.48,44.36,4.5,0.98,0.82,0.0,0.0,0.0,0.88
1981-01-13,1.357,1.57,6.15,-2.7,18.99,0.02,0.91,0.89,0.0,0.0,0.0,0.88
1981-01-14,1.306,1.51,0.26,-4.54,35.25,5.04,2.04,0.78,0.0,0.0,0.0,0.88
1981-01-15,1.53,1.77,20.99,-0.53,41.73,1.53,3.25,0.87,0.0,0.0,0.0,0.88
1981-01-16,1.738,2.01,2.48,-2.99,35.11,0.12,2.66,0.75,0.28,0.28,0.28,0.86
1981-01-17,1.816,2.1,3.75,1.64,39.96,1.17,3.04,0.8,0.06,0.06,0.06,0.87
1981-01-18,2.386,2.76,3.06,0.56,24.67,0.02,2.73,0.84,0.12,0.12,0.12,0.87
1981-01-19,3.13,3.62,7.34,1.07,17.52,0.02,2.78,0.86,0.03,0.03,0.03,0.87
1981-01-20,3.554,4.11,6.94,-0.9,26.7,0.16,1.11,0.87,0.0,0.0,0.0,0.88
1981-01-21,3.026,3.5,0.05,-4.49,67.62,4.08,0.61,0.82,0.0,0.0,0.0,0.87
1981-01-22,2.352,2.72,0.0,-7.83,60.06,2.91,0.72,0.9,0.0,0.0,0.0,0.87
1981-01-23,1.842,2.13,0.0,-8.58,63.63,3.25,0.8,0.9,0.0,0.0,0.0,0.87
1981-01-24,1.496,1.73,0.0,-7.96,37.57,0.75,0.63,0.93,0.0,0.0,0.0,0.87
1981-01-25,1.323,1.53,0.63,-5.27,41.02,0.41,0.86,0.92,0.0,0.0,0.0,0.88
1981-01-26,1.297,1.5,3.9,-1.26,63.79,3.69,0.94,0.97,0.0,0.0,0.0,0.88
1981-01-27,1.262,1.46,0.0,-4.99,64.48,3.33,0.64,0.94,0.0,0.0,0.0,0.88
1981-01-28,1.202,1.39,0.0,-5.68,56.87,2.51,0.86,0.89,0.0,0.0,0.0,0.88
1981-01-29,1.159,1.34,0.0,-7.25,35.84,0.78,0.73,0.91,0.0,0.0,0.0,0.88
1981-01-30,1.115,1.29,0.0,-8.31,52.53,1.36,0.43,0.97,0.0,0.0,0.0,0.88
1981-01-31,1.072,1.24,0.0,-6.74,54.64,2.45,0.37,0.94,0.0,0.0,0.0,0.88
1981-02-01,1.029,1.19,0.0,-4.9,56.62,2.66,0.43,0.91,0.0,0.0,0.0,0.88
1981-02-02,0.994,1.15,0.0,-3.73,61.65,2.74,0.37,0.86,0.0,0.0,0.0,0.88
1981-02-03,1.072,1.24,5.69,0.05,48.25,0.98,1.92,0.78,0.33,0.33,0.33,0.96
1981-02-04,1.885,2.18,13.17,1.79,35.22,0.45,2.78,0.89,0.02,0.02,0.01,1.0
1981-02-05,3.061,3.54,6.64,-1.29,44.9,1.06,2.25,0.82,0.08,0.08,0.05,0.94
1981-02-06,2.966,3.43,5.77,0.73,25.84,0.03,2.69,0.9,0.01,0.0,0.0,0.98
1981-02-07,3.96,4.58,4.91,3.68,25.39,0.04,1.72,0.91,0.03,0.03,0.02,0.99
1981-02-08,5.473,6.33,0.0,4.06,38.97,0.83,1.34,0.88,0.04,0.04,0.02,0.97
1981-02-09,5.058,5.85,0.0,1.64,78.78,4.01,0.99,0.87,0.06,0.06,0.03,0.94
1981-02-10,4.652,5.38,2.96,1.26,33.99,0.06,2.33,0.85,0.23,0.23,0.17,0.97
1981-02-11,4.245,4.91,1.13,-1.55,83.78,3.86,0.61,0.81,0.09,0.09,0.05,0.97
1981-02-12,3.286,3.8,0.0,-3.63,92.76,3.95,1.03,0.71,0.16,0.13,0.11,0.91
1981-02-13,2.456,2.84,0.0,-4.32,124.89,8.7,1.75,0.64,0.15,0.15,0.04,0.87
1981-02-14,1.85,2.14,0.0,-4.82,125.18,8.11,0.98,0.71,0.1,0.1,0.01,0.86
1981-02-15,1.496,1.73,0.0,-4.22,123.77,7.35,0.66,0.74,0.09,0.09,0.01,0.86
1981-02-16,1.323,1.53,0.0,-2.89,129.07,8.55,1.16,0.69,0.13,0.13,0.01,0.85
1981-02-17,1.271,1.47,0.0,-2.88,50.77,1.0,1.66,0.72,0.38,0.37,0.26,0.74
1981-02-18,1.228,1.42,1.05,-2.95,58.12,0.76,1.5,0.7,0.48,0.48,0.35,0.81
1981-02-19,1.185,1.37,0.35,-4.14,49.52,0.73,1.46,0.82,0.12,0.11,0.1,0.81
1981-02-20,1.141,1.32,0.0,-3.74,48.65,0.88,0.65,0.78,0.1,0.08,0.08,0.77
1981-02-21,1.098,1.27,1.11,-3.37,70.79,0.59,0.86,0.75,0.22,0.21,0.11,0.84
1981-02-22,1.064,1.23,0.3,-4.17,122.62,6.45,0.94,0.8,0.08,0.07,0.07,0.83
1981-02-23,1.02,1.18,0.0,-4.65,65.16,1.45,0.74,0.86,0.07,0.07,0.06,0.8
1981-02-24,0.986,1.14,0.0,-3.07,102.45,5.43,0.71,0.8,0.07,0.07,0.02,0.78
1981-02-25,0.951,1.1,0.0,-2.47,69.05,0.93,1.12,0.82,0.19,0.18,0.09,0.73
1981-02-26,0.934,1.08,0.0,-1.48,58.02,0.92,0.78,0.77,0.18,0.17,0.08,0.7
1981-02-27,0.899,1.04,0.0,-2.34,143.97,7.94,0.91,0.66,0.21,0.18,0.01,0.68
1981-02-28,0.882,1.02,2.59,-1.44,73.1,1.86,0.73,0.74,0.29,0.27,0.15,0.88
1981-03-01,1.176,1.36,2.82,2.97,98.37,2.31,0.98,0.85,0.0,0.0,0.0,1.01
1981-03-02,1.712,1.98,0.42,2.81,70.24,0.37,0.89,0.86,0.22,0.22,0.15,0.95
1981-03-03,2.542,2.94,12.11,2.07,57.48,0.06,1.02,0.91,0.19,0.19,0.13,1.06
1981-03-04,3.986,4.61,5.81,0.87,43.2,0.06,0.57,0.93,0.09,0.09,0.05,1.06
1981-03-05,3.908,4.52,0.01,1.64,109.32,3.08,0.78,0.8,0.31,0.31,0.19,0.89
1981-03-06,3.606,4.17,2.52,2.56,62.44,0.08,1.43,0.84,0.41,0.41,0.25,0.99
1981-03-07,4.868,5.63,0.64,7.2,163.66,8.46,1.28,0.73,0.64,0.64,0.35,0.85
1981-03-08,7.514,8.69,6.03,7.41,44.95,0.07,1.68,0.79,0.63,0.63,0.48,1.02
1981-03-09,9.831,11.37,0.37,10.32,125.08,4.17,2.17,0.69,1.53,1.52,0.95,0.55
1981-03-10,9.727,11.25,4.52,9.7,46.14,0.18,1.43,0.83,0.59,0.59,0.31,0.98
1981-03-11,10.938,12.65,4.52,12.34,51.95,0.08,2.43,0.68,1.64,1.63,1.2,0.94
1981-03-12,12.001,13.88,14.22,8.73,47.94,0.29,2.48,0.85,0.71,0.7,0.52,1.04
1981-03-13,8.629,9.98,4.82,5.62,97.93,2.78,2.4,0.8,0.98,0.98,0.64,1.01
1981-03-14,5.603,6.48,0.25,5.72,138.92,4.16,2.35,0.64,1.66,1.66,0.94,0.37
1981-03-15,3.683,4.26,0.83,3.94,79.97,0.64,1.01,0.77,0.8,0.8,0.32,0.47
1981-03-16,2.819,3.26,1.75,2.93,99.48,2.01,1.61,0.84,0.76,0.76,0.49,0.65
1981-03-17,2.421,2.8,4.19,0.82,67.87,1.14,1.0,0.89,0.39,0.39,0.26,0.96
1981-03-18,2.404,2.78,5.47,-0.28,104.83,2.28,1.02,0.86,0.61,0.6,0.42,1.03
1981-03-19,2.309,2.67,0.01,1.37,204.5,9.87,1.31,0.67,0.57,0.5,0.25,0.79
1981-03-20,1.945,2.25,0.0,5.14,183.27,7.04,0.84,0.61,1.42,1.42,0.6,0.2
1981-03-21,1.747,2.02,0.0,8.6,198.35,10.53,1.29,0.55,1.94,1.9,0.16,0.04
1981-03-22,1.669,1.93,0.0,7.93,154.81,6.02,2.11,0.61,1.93,1.81,0.03,0.01
1981-03-23,1.617,1.87,3.86,9.5,124.01,1.47,1.73,0.69,1.82,1.64,0.29,0.84
1981-03-24,1.66,1.92,2.91,12.45,156.07,5.87,2.9,0.61,2.66,2.58,1.25,0.7
1981-03-25,1.6,1.85,3.39,13.68,167.61,5.89,1.6,0.72,2.22,2.12,0.7,0.85
1981-03-26,1.997,2.31,7.48,10.81,66.17,1.55,2.28,0.76,1.25,1.25,0.88,0.94
1981-03-27,1.997,2.31,0.0,8.2,211.44,9.18,1.57,0.58,2.21,2.21,0.92,0.02
1981-03-28,1.565,1.81,0.0,9.13,215.81,10.4,1.03,0.63,1.97,1.93,0.02,0.0
1981-03-29,1.409,1.63,0.0,13.4,185.31,7.28,1.58,0.55,2.85,2.44,0.0,0.0
1981-03-30,1.357,1.57,0.59,9.72,92.28,0.36,1.34,0.83,1.12,0.9,0.0,0.34
1981-03-31,1.314,1.52,0.0,9.97,63.58,0.09,0.92,0.82,0.84,0.71,0.34,0.0
1981-04-01,1.262,1.46,0.0,9.65,61.34,0.09,0.85,0.85,0.7,0.5,0.0,0.0
