date,discharge_vol_sim(m3/s),discharge_spec_sim(mm/d),precipitation_sim(mm/d),temperature_sim(degC),radiation_sim(W/m2),sun_duration_sim(h),wind_sim(m/s),rel_humidity_sim(%),pet_sim(mm/d),et_sim(mm/d),intercept_et_sim(mm/d),intercept_storage_sim(mm)
1981-01-01,2.748,1.11,2.88,0.03,17.22,0.13,2.56,0.87,0.06,0.06,0.06,1.33
1981-01-02,3.045,1.23,8.98,-0.31,21.36,0.0,2.14,0.92,0.01,0.01,0.01,1.33
1981-01-03,6.611,2.67,20.74,2.48,14.1,0.0,3.6,0.9,0.1,0.1,0.1,1.33
1981-01-04,12.132,4.9,22.33,0.33,20.65,0.23,2.44,0.96,0.0,0.0,0.0,1.33
1981-01-05,11.538,4.66,0.98,-2.97,32.93,0.5,2.77,0.86,0.12,0.12,0.12,1.3
1981-01-06,8.988,3.63,13.46,-2.25,18.85,0.0,3.1,0.92,0.01,0.01,0.01,1.33
1981-01-07,7.205,2.91,3.45,-5.35,51.85,0.88,1.72,0.9,0.0,0.0,0.0,1.33
1981-01-08,5.596,2.26,0.18,-8.95,80.7,7.52,0.94,0.86,0.0,0.0,0.0,1.33
1981-01-09,4.407,1.78,0.01,-5.4,58.66,1.32,0.69,0.92,0.0,0.0,0.0,1.33
1981-01-10,3.64,1.47,6.13,-1.18,30.46,0.0,0.69,0.98,0.0,0.0,0.0,1.33
1981-01-11,3.268,1.32,1.29,-2.76,15.76,0.0,1.59,0.97,0.0,0.0,0.0,1.33
1981-01-12,3.07,1.24,1.3,-4.17,56.24,2.65,1.12,0.96,0.0,0.0,0.0,1.33
1981-01-13,2.996,1.21,3.48,-4.14,39.66,0.4,1.62,0.89,0.0,0.0,0.0,1.33
1981-01-14,2.897,1.17,4.81,-5.73,54.72,1.77,1.75,0.9,0.0,0.0,0.0,1.33
1981-01-15,3.095,1.25,31.03,-1.5,31.31,0.72,3.39,0.92,0.0,0.0,0.0,1.33
1981-01-16,3.318,1.34,4.04,-3.25,42.75,0.44,2.5,0.85,0.04,0.04,0.04,1.33
1981-01-17,3.466,1.4,7.24,1.31,27.01,0.08,3.26,0.88,0.08,0.08,0.08,1.33
1981-01-18,4.184,1.69,7.02,-0.48,23.25,0.01,2.61,0.93,0.0,0.0,0.0,1.33
