date,discharge_vol(m3/s),discharge_spec(mm/d),waterlevel(m),precipitation(mm/d),temperature_min(degC),temperature_mean(degC),temperature_max(degC),rel_sun_dur(%),swe(mm)
1981-01-01,0.173,1.061,1861.361,0.01,-8.69,-5.79,-2.11,77.89,NaN
1981-01-02,0.174,1.067,1861.361,0.06,-11.21,-8.16,-1.43,97.6,NaN
1981-01-03,0.175,1.073,1861.361,0.81,-6.69,-0.43,3.13,49.47,NaN
1981-01-04,0.176,1.079,1861.36,4.63,-10.09,-5.46,-0.84,1.12,NaN
1981-01-05,0.177,1.085,1861.36,4.1,-14.08,-13.48,-12.78,0.43,NaN
1981-01-06,0.178,1.091,1861.36,4.43,-14.37,-12.72,-10.67,0.11,NaN
1981-01-07,0.178,1.091,1861.36,2.38,-18.34,-17.06,-16.53,18.1,NaN
1981-01-08,0.179,1.098,1861.36,0.0,-20.22,-17.8,-10.8,99.67,NaN
1981-01-09,0.18,1.104,1861.359,0.0,-17.76,-9.01,-4.33,56.93,NaN
1981-01-10,0.181,1.11,1861.359,0.0,-8.65,-6.83,-3.98,0.15,NaN
1981-01-11,0.182,1.116,1861.359,0.0,-11.98,-9.0,-5.89,82.59,NaN
1981-01-12,0.183,1.122,1861.359,2.95,-16.38,-12.17,-8.79,99.89,NaN
1981-01-13,0.183,1.122,1861.359,0.12,-13.44,-10.75,-8.51,1.97,NaN
1981-01-14,0.184,1.128,1861.359,0.0,-16.64,-11.44,-5.23,86.78,NaN
1981-01-15,0.185,1.134,1861.358,1.6,-14.14,-11.35,-6.8,46.07,NaN
1981-01-16,0.186,1.141,1861.358,0.01,-16.27,-14.28,-10.46,87.57,NaN
1981-01-17,0.187,1.147,1861.358,0.0,-14.51,-10.21,-6.63,91.01,NaN
1981-01-18,0.188,1.153,1861.358,0.0,-11.47,-9.47,-7.08,44.38,NaN
1981-01-19,0.188,1.153,1861.358,2.62,-12.51,-8.44,-6.88,1.12,NaN
1981-01-20,0.189,1.159,1861.357,2.29,-13.0,-11.37,-9.78,4.27,NaN
1981-01-21,0.19,1.165,1861.357,0.0,-16.04,-14.1,-9.87,99.14,NaN
1981-01-22,0.191,1.171,1861.357,0.0,-18.54,-11.04,-7.86,98.12,NaN
1981-01-23,0.191,1.171,1861.357,0.0,-14.17,-8.18,-4.66,99.88,NaN
1981-01-24,0.191,1.171,1861.357,0.0,-10.05,-3.59,0.69,99.98,NaN
1981-01-25,0.191,1.171,1861.357,0.0,-8.45,-4.15,-1.36,93.61,NaN
1981-01-26,0.191,1.171,1861.357,0.0,-12.32,-8.84,-7.35,68.84,NaN
1981-01-27,0.191,1.171,1861.357,0.0,-14.02,-8.89,-5.5,98.61,NaN
1981-01-28,0.191,1.171,1861.357,0.0,-12.22,-6.65,-2.59,38.3,NaN
1981-01-29,0.191,1.171,1861.357,0.0,-13.43,-9.8,-5.26,99.95,NaN
1981-01-30,0.191,1.171,1861.357,0.0,-13.33,-7.9,-3.4,99.98,NaN
1981-01-31,0.191,1.171,1861.357,0.0,-9.51,-4.83,-0.9,99.92,NaN
1981-02-01,0.191,1.171,1861.357,0.0,-8.11,-3.19,0.83,99.98,NaN
1981-02-02,0.191,1.171,1861.357,0.0,-7.5,-4.23,-0.82,99.95,NaN
1981-02-03,0.191,1.171,1861.357,0.0,-9.22,-4.4,0.43,41.43,NaN
1981-02-04,0.191,1.171,1861.357,0.21,-10.02,-7.7,-4.91,16.06,NaN
1981-02-05,0.191,1.171,1861.357,0.03,-14.39,-12.9,-9.99,84.86,NaN
1981-02-06,0.189,1.159,1861.356,0.11,-14.89,-8.46,-0.67,30.54,NaN
1981-02-07,0.185,1.134,1861.355,0.0,-5.09,-0.01,2.25,18.99,NaN
1981-02-08,0.18,1.104,1861.353,0.0,-5.17,0.62,3.57,99.99,NaN
1981-02-09,0.176,1.079,1861.352,0.0,-5.75,-1.58,3.69,99.95,NaN
1981-02-10,0.171,1.049,1861.35,0.32,-7.9,-4.92,-1.79,3.2,NaN
1981-02-11,0.167,1.024,1861.349,0.0,-15.46,-12.4,-9.46,96.19,NaN
1981-02-12,0.162,0.993,1861.347,0.0,-19.13,-15.83,-11.15,99.83,NaN
1981-02-13,0.158,0.969,1861.346,0.0,-20.31,-14.56,-8.91,99.58,NaN
1981-02-14,0.153,0.938,1861.344,0.0,-16.53,-8.87,-3.89,99.74,NaN
1981-02-15,0.149,0.914,1861.343,0.0,-10.23,-4.87,-2.24,99.86,NaN
1981-02-16,0.144,0.883,1861.341,0.0,-11.21,-7.84,-3.09,99.73,NaN
1981-02-17,0.14,0.858,1861.34,0.04,-13.76,-9.97,-5.44,99.96,NaN
1981-02-18,0.137,0.84,1861.339,0.03,-16.42,-13.16,-9.58,69.1,NaN
1981-02-19,0.137,0.84,1861.339,0.0,-18.16,-15.1,-9.47,83.42,NaN
1981-02-20,0.137,0.84,1861.339,0.2,-17.07,-11.95,-5.9,99.66,NaN
1981-02-21,0.138,0.846,1861.339,1.26,-16.38,-12.86,-10.37,7.17,NaN
1981-02-22,0.138,0.846,1861.339,1.5,-16.18,-11.62,-6.19,96.38,NaN
1981-02-23,0.138,0.846,1861.339,0.0,-15.94,-11.9,-5.41,84.55,NaN
1981-02-24,0.138,0.846,1861.339,0.0,-15.43,-11.25,-7.79,97.82,NaN
1981-02-25,0.138,0.846,1861.339,0.0,-15.48,-9.29,-4.46,87.33,NaN
1981-02-26,0.138,0.846,1861.339,0.0,-14.3,-9.59,-3.61,99.5,NaN
1981-02-27,0.139,0.852,1861.34,0.17,-16.9,-10.94,-4.74,96.03,NaN
1981-02-28,0.139,0.852,1861.34,0.2,-12.94,-10.4,-7.29,9.49,NaN
1981-03-01,0.139,0.852,1861.34,0.0,-11.66,-7.46,-3.5,2.35,NaN
1981-03-02,0.139,0.852,1861.34,0.0,-11.47,-6.62,-1.07,83.11,NaN
1981-03-03,0.139,0.852,1861.34,3.08,-8.46,-6.01,-2.99,28.98,NaN
1981-03-04,0.139,0.852,1861.34,0.01,-8.82,-7.76,-6.01,16.9,NaN
1981-03-05,0.14,0.858,1861.34,0.0,-14.65,-8.57,-1.9,99.56,NaN
1981-03-06,0.14,0.858,1861.34,0.14,-11.14,-6.92,-2.51,43.83,NaN
1981-03-07,0.14,0.858,1861.34,0.03,-8.02,-2.33,2.49,97.41,NaN
1981-03-08,0.136,0.834,1861.339,0.09,-4.46,-1.82,1.02,1.9,NaN
1981-03-09,0.14,0.858,1861.34,0.0,-3.23,0.69,5.53,96.71,NaN
1981-03-10,0.185,1.134,1861.354,0.0,-0.12,2.53,4.82,39.01,NaN
1981-03-11,0.2,1.226,1861.36,0.0,1.7,4.17,6.69,6.3,NaN
1981-03-12,0.203,1.245,1861.361,4.71,-1.35,0.17,4.15,14.2,NaN
